date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-02-06T00:00:00Z,2024-02-06T23:59:59Z,DYMUSDT,spot,0.2,6.321,0.2,4.924,39562407.1,202501412.818,636960,18945243.2,97223514.1731
2024-02-07T00:00:00Z,2024-02-07T23:59:59Z,DYMUSDT,spot,4.92,6.4,4.8,5.722,34892444.6,195472150.6381,745520,17259898.5,96985356.874
2024-02-08T00:00:00Z,2024-02-08T23:59:59Z,DYMUSDT,spot,5.722,8.361,5.692,7.268,34819814.4,248067338.0953,913819,17876626.7,127339297.4638
2024-02-09T00:00:00Z,2024-02-09T23:59:59Z,DYMUSDT,spot,7.266,8.285,6.854,7.317,29067989.3,219157609.8503,825210,14423621.9,108923319.7654
2024-02-10T00:00:00Z,2024-02-10T23:59:59Z,DYMUSDT,spot,7.319,7.731,7.078,7.453,11486141,85790189.2789,317678,5730785.6,42844501.6335
2024-02-11T00:00:00Z,2024-02-11T23:59:59Z,DYMUSDT,spot,7.453,7.85,7.05,7.104,9039762.9,67976483.7736,243695,4495630.7,33850050.6488
2024-02-12T00:00:00Z,2024-02-12T23:59:59Z,DYMUSDT,spot,7.104,7.43,6.862,7.144,8649257.1,61746838.5226,232580,4382007.4,31311458.6008
2024-02-13T00:00:00Z,2024-02-13T23:59:59Z,DYMUSDT,spot,7.143,7.5,6.924,7.014,8407022.7,60514382.6366,222465,4135917.6,29810911.9477
2024-02-14T00:00:00Z,2024-02-14T23:59:59Z,DYMUSDT,spot,7.012,8.734,6.958,8.28,16612651.2,132441044.4864,495534,8729444.9,69604346.4417
2024-02-15T00:00:00Z,2024-02-15T23:59:59Z,DYMUSDT,spot,8.278,8.569,7.69,7.782,10609418.6,86204986.9977,284769,5440819.7,44229847.1456
2024-02-16T00:00:00Z,2024-02-16T23:59:59Z,DYMUSDT,spot,7.783,8.076,7.415,7.595,6350593.7,49116677.8312,182301,2883799.5,22314816.1878
2024-02-17T00:00:00Z,2024-02-17T23:59:59Z,DYMUSDT,spot,7.595,7.702,7,7.396,6273164.3,45804835.0632,162614,3271074.8,23896212.1474
2024-02-18T00:00:00Z,2024-02-18T23:59:59Z,DYMUSDT,spot,7.396,7.849,7.195,7.374,5326610.3,40236988.6032,170017,2599551.9,19640814.7032
2024-02-19T00:00:00Z,2024-02-19T23:59:59Z,DYMUSDT,spot,7.374,7.9,7.36,7.598,6805138,51717881.7432,201746,3136252.1,23830551.787
2024-02-20T00:00:00Z,2024-02-20T23:59:59Z,DYMUSDT,spot,7.599,7.687,6.814,7.256,7164237.4,51948554.7949,210915,3262238.1,23680102.6873
2024-02-21T00:00:00Z,2024-02-21T23:59:59Z,DYMUSDT,spot,7.256,7.5,6.739,7.205,7175849.6,51415191.0401,216655,3772142.4,27066851.4462
2024-02-22T00:00:00Z,2024-02-22T23:59:59Z,DYMUSDT,spot,7.206,7.523,6.9,7.145,5824015.3,41807238.9847,179764,2790744,20055066.9723
2024-02-23T00:00:00Z,2024-02-23T23:59:59Z,DYMUSDT,spot,7.145,7.258,6.166,6.271,6560479,43777919.5187,183758,3171263,21102308.2673
2024-02-24T00:00:00Z,2024-02-24T23:59:59Z,DYMUSDT,spot,6.271,6.477,5.914,6.325,4010724.1,24947163.2563,113835,2028719.4,12625243.8265
