date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-08T12:00:00Z,2024-01-08T12:59:59Z,AIUSDT,fapi,1.39499,1.499,1.3936,1.48764,5414771,7944757.16977,39024,2552418,3746501.8191
2024-01-08T13:00:00Z,2024-01-08T13:59:59Z,AIUSDT,fapi,1.485,1.51499,1.42426,1.43817,7045545,10389853.6145,60438,3147841,4650857.97391
2024-01-08T14:00:00Z,2024-01-08T14:59:59Z,AIUSDT,fapi,1.43819,1.47618,1.389,1.41038,4656900,6721090.83625,44935,1975200,2853576.37233
2024-01-08T15:00:00Z,2024-01-08T15:59:59Z,AIUSDT,fapi,1.4101,1.44404,1.39608,1.40554,3221738,4577278.36107,28584,1477385,2100882.33012
2024-01-08T16:00:00Z,2024-01-08T16:59:59Z,AIUSDT,fapi,1.4056,1.44,1.373,1.39771,2933806,4130265.90572,27155,1296139,1826699.19065
2024-01-08T17:00:00Z,2024-01-08T17:59:59Z,AIUSDT,fapi,1.3974,1.45347,1.3767,1.41777,2601410,3700907.16532,24309,1267193,1803744.05534
2024-01-08T18:00:00Z,2024-01-08T18:59:59Z,AIUSDT,fapi,1.41805,1.44124,1.34125,1.36114,3167338,4411944.88357,31418,1433737,2000618.20089
2024-01-08T19:00:00Z,2024-01-08T19:59:59Z,AIUSDT,fapi,1.36114,1.364,1.27,1.30378,5278373,6952047.10585,43011,2413785,3181937.62072
2024-01-08T20:00:00Z,2024-01-08T20:59:59Z,AIUSDT,fapi,1.30322,1.35494,1.30255,1.34972,1856350,2471835.75773,20157,933241,1243542.65824
2024-01-08T21:00:00Z,2024-01-08T21:59:59Z,AIUSDT,fapi,1.34972,1.40442,1.33371,1.34458,2367467,3230507.69489,28398,1142950,1561463.82119
2024-01-08T22:00:00Z,2024-01-08T22:59:59Z,AIUSDT,fapi,1.34387,1.38083,1.30941,1.33936,1871050,2514686.3834,20608,805734,1083835.87534
2024-01-08T23:00:00Z,2024-01-08T23:59:59Z,AIUSDT,fapi,1.33929,1.38119,1.33376,1.35999,1004319,1367741.80526,13173,495497,674329.26501
2024-01-09T00:00:00Z,2024-01-09T00:59:59Z,AIUSDT,fapi,1.359,1.438,1.34519,1.40601,2901213,4055911.89171,32654,1445572,2020465.79846
2024-01-09T01:00:00Z,2024-01-09T01:59:59Z,AIUSDT,fapi,1.406,1.41082,1.31841,1.34539,2638296,3566796.9354,24579,1142319,1544765.43967
2024-01-09T02:00:00Z,2024-01-09T02:59:59Z,AIUSDT,fapi,1.34478,1.3531,1.322,1.35057,1836919,2456119.30405,18891,829964,1110544.71841
2024-01-09T03:00:00Z,2024-01-09T03:59:59Z,AIUSDT,fapi,1.34955,1.40816,1.32947,1.39654,2390464,3282582.90148,24680,1242177,1704788.15269
2024-01-09T04:00:00Z,2024-01-09T04:59:59Z,AIUSDT,fapi,1.39735,1.425,1.365,1.38602,3276745,4572158.66887,28927,1449069,2024848.79307
2024-01-09T05:00:00Z,2024-01-09T05:59:59Z,AIUSDT,fapi,1.38601,1.39014,1.34244,1.36524,2106780,2867884.70644,23765,937298,1276024.41032
2024-01-09T06:00:00Z,2024-01-09T06:59:59Z,AIUSDT,fapi,1.36522,1.37147,1.33301,1.35911,1940880,2619825.2534,20883,857702,1158734.74201
