date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-25T14:00:00Z,2024-01-25T14:29:59Z,ALTUSDT,fapi,0.28516,0.319,0.28516,0.31459,65360232,20177772.15883,70625,33106829,10227732.17174
2024-01-25T14:30:00Z,2024-01-25T14:59:59Z,ALTUSDT,fapi,0.31427,0.34695,0.31402,0.3444,159390701,53603215.85118,191139,82102632,27603682.94852
2024-01-25T15:00:00Z,2024-01-25T15:29:59Z,ALTUSDT,fapi,0.34455,0.3486,0.32119,0.3242,136497992,45588730.55143,191555,66316275,22168161.04525
2024-01-25T15:30:00Z,2024-01-25T15:59:59Z,ALTUSDT,fapi,0.3242,0.3457,0.3202,0.34328,110586908,37095025.837,169477,58190622,19520545.55953
2024-01-25T16:00:00Z,2024-01-25T16:29:59Z,ALTUSDT,fapi,0.34328,0.34567,0.3324,0.33688,89443016,30348782.09766,153653,44961698,15266481.02109
2024-01-25T16:30:00Z,2024-01-25T16:59:59Z,ALTUSDT,fapi,0.33706,0.339,0.3263,0.32856,73729603,24465417.2542,119460,35324920,11726994.94939
2024-01-25T17:00:00Z,2024-01-25T17:29:59Z,ALTUSDT,fapi,0.32856,0.33278,0.32137,0.32363,69125137,22546385.44915,130609,34429436,11236829.86415
2024-01-25T17:30:00Z,2024-01-25T17:59:59Z,ALTUSDT,fapi,0.32348,0.3317,0.32177,0.32934,48735900,15897131.21828,111925,26133256,8528532.6472600009
2024-01-25T18:00:00Z,2024-01-25T18:29:59Z,ALTUSDT,fapi,0.32933,0.33479,0.32411,0.33102,43677861,14390477.41394,97986,22273864,7342191.85567
2024-01-25T18:30:00Z,2024-01-25T18:59:59Z,ALTUSDT,fapi,0.33101,0.3322,0.3235,0.32621,35380047,11596903.87042,84714,16853200,5526999.4778
2024-01-25T19:00:00Z,2024-01-25T19:29:59Z,ALTUSDT,fapi,0.32621,0.32736,0.3111,0.314,71493436,22610448.37279,141076,32492368,10269333.33485
2024-01-25T19:30:00Z,2024-01-25T19:59:59Z,ALTUSDT,fapi,0.31404,0.32389,0.31225,0.3225,34401214,10952667.36612,79589,18509000,5894609.22028
2024-01-25T20:00:00Z,2024-01-25T20:29:59Z,ALTUSDT,fapi,0.3225,0.325,0.313,0.31619,29474726,9383801.18164,66546,14939936,4760855.75257
2024-01-25T20:30:00Z,2024-01-25T20:59:59Z,ALTUSDT,fapi,0.31615,0.31871,0.30181,0.31051,65196893,20115264.79039,132687,31393795,9693279.2124
2024-01-25T21:00:00Z,2024-01-25T21:29:59Z,ALTUSDT,fapi,0.31051,0.3145,0.30592,0.30865,30873929,9568935.20007,69217,15791832,4896790.30355
2024-01-25T21:30:00Z,2024-01-25T21:59:59Z,ALTUSDT,fapi,0.30873,0.31305,0.306,0.30961,23599563,7309134.5768,46190,12258883,3797978.10579
2024-01-25T22:00:00Z,2024-01-25T22:29:59Z,ALTUSDT,fapi,0.30961,0.31163,0.30255,0.31125,28734253,8835446.47994,61430,14282046,4394552.70972
2024-01-25T22:30:00Z,2024-01-25T22:59:59Z,ALTUSDT,fapi,0.3112,0.3245,0.30915,0.31998,47580683,15128798.10936,99981,24743934,7867745.91052
2024-01-25T23:00:00Z,2024-01-25T23:29:59Z,ALTUSDT,fapi,0.31998,0.33305,0.31841,0.32792,45912100,14975840.29083,96030,23375283,7624171.13194
2024-01-25T23:30:00Z,2024-01-25T23:59:59Z,ALTUSDT,fapi,0.3279,0.32819,0.31841,0.32212,29797026,9609857.58917,71003,14229774,4591016.73767
2024-01-26T00:00:00Z,2024-01-26T00:29:59Z,ALTUSDT,fapi,0.32219,0.3299,0.31511,0.31699,35624534,11559731.96472,85589,16838444,5470574.39993
2024-01-26T00:30:00Z,2024-01-26T00:59:59Z,ALTUSDT,fapi,0.31699,0.31939,0.30636,0.31355,41521112,13006841.95661,96221,19944332,6253955.68471
2024-01-26T01:00:00Z,2024-01-26T01:29:59Z,ALTUSDT,fapi,0.31355,0.31907,0.3105,0.31233,27142337,8530347.25202,65706,13413757,4217465.95299
2024-01-26T01:30:00Z,2024-01-26T01:59:59Z,ALTUSDT,fapi,0.31222,0.32181,0.31174,0.31994,19501213,6183425.5513,44306,10341085,3279953.0576
2024-01-26T02:00:00Z,2024-01-26T02:29:59Z,ALTUSDT,fapi,0.3199,0.323,0.31528,0.31909,21931274,7001086.39728,45289,11157772,3563915.35231
2024-01-26T02:30:00Z,2024-01-26T02:59:59Z,ALTUSDT,fapi,0.31908,0.32213,0.31358,0.31405,17413334,5531762.38795,39695,8549292,2717738.96123
2024-01-26T03:00:00Z,2024-01-26T03:29:59Z,ALTUSDT,fapi,0.31401,0.31974,0.31288,0.31452,14444715,4576184.68089,32002,7360199,2332184.11492
2024-01-26T03:30:00Z,2024-01-26T03:59:59Z,ALTUSDT,fapi,0.31452,0.31578,0.30937,0.31163,20058595,6267930.20273,42206,8643597,2702160.75752
2024-01-26T04:00:00Z,2024-01-26T04:29:59Z,ALTUSDT,fapi,0.31168,0.31462,0.30811,0.31079,14915838,4651663.08087,33143,7648700,2386891.56808
