date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-31T18:30:00Z,2024-01-31T18:59:59Z,JUPUSDT,fapi,0.6852,0.6863,0.6588,0.6746,8733208,5898486.5596,26533,4255726,2876150.726
2024-01-31T19:00:00Z,2024-01-31T19:29:59Z,JUPUSDT,fapi,0.6742,0.6759,0.6419,0.6463,14117269,9280778.3824,40595,6776002,4455067.0175
2024-01-31T19:30:00Z,2024-01-31T19:59:59Z,JUPUSDT,fapi,0.6463,0.6571,0.63,0.6384,18344830,11806718.4985,62977,9272320,5969634.5341
2024-01-31T20:00:00Z,2024-01-31T20:29:59Z,JUPUSDT,fapi,0.6385,0.653,0.6204,0.6437,14758401,9409825.1268,54500,7495381,4784488.1594
2024-01-31T20:30:00Z,2024-01-31T20:59:59Z,JUPUSDT,fapi,0.6431,0.6482,0.621,0.6299,14700896,9322240.5422,50637,6860708,4351422.8299
2024-01-31T21:00:00Z,2024-01-31T21:29:59Z,JUPUSDT,fapi,0.6299,0.6348,0.6216,0.628,11452867,7184782.1876,41809,5830685,3658259.1027
2024-01-31T21:30:00Z,2024-01-31T21:59:59Z,JUPUSDT,fapi,0.6279,0.6479,0.6208,0.6439,16534260,10472519.8882,51893,8509959,5391277.5005
2024-01-31T22:00:00Z,2024-01-31T22:29:59Z,JUPUSDT,fapi,0.6438,0.6755,0.6375,0.6701,19351727,12669692.8859,51725,10054665,6587541.2112
2024-01-31T22:30:00Z,2024-01-31T22:59:59Z,JUPUSDT,fapi,0.6703,0.692,0.6555,0.6766,27180570,18364725.1882,80380,13797243,9327928.2385
2024-01-31T23:00:00Z,2024-01-31T23:29:59Z,JUPUSDT,fapi,0.6766,0.693,0.6691,0.6795,14850676,10111000.2522,50605,7134495,4859063.6816
2024-01-31T23:30:00Z,2024-01-31T23:59:59Z,JUPUSDT,fapi,0.6794,0.6801,0.655,0.6629,13615913,9077625.5753,41970,6221634,4149710.596
2024-02-01T00:00:00Z,2024-02-01T00:29:59Z,JUPUSDT,fapi,0.6629,0.669,0.6461,0.6498,13160416,8644457.5012,40112,6349000,4171764.6184
2024-02-01T00:30:00Z,2024-02-01T00:59:59Z,JUPUSDT,fapi,0.6497,0.69,0.649,0.6711,18237849,12196622.2672,57710,10090385,6750790.6706
2024-02-01T01:00:00Z,2024-02-01T01:29:59Z,JUPUSDT,fapi,0.6712,0.6742,0.628,0.653,18393259,11989749.8103,76244,8592454,5609055.8044
2024-02-01T01:30:00Z,2024-02-01T01:59:59Z,JUPUSDT,fapi,0.653,0.6575,0.6402,0.6473,8807017,5717520.1256,37348,4491732,2917669.7181
2024-02-01T02:00:00Z,2024-02-01T02:29:59Z,JUPUSDT,fapi,0.6473,0.6508,0.6367,0.6446,6102140,3926974.878,23077,3077432,1980901.2074
2024-02-01T02:30:00Z,2024-02-01T02:59:59Z,JUPUSDT,fapi,0.6443,0.6633,0.6395,0.6576,8779541,5730565.9955,32221,4391771,2867428.1208
2024-02-01T03:00:00Z,2024-02-01T03:29:59Z,JUPUSDT,fapi,0.6577,0.6585,0.6202,0.6293,13276558,8452121.9951,50640,5406483,3441062.3217
2024-02-01T03:30:00Z,2024-02-01T03:59:59Z,JUPUSDT,fapi,0.6295,0.6434,0.6224,0.6293,9860155,6239693.3736,40329,4435344,2805638.5925
2024-02-01T04:00:00Z,2024-02-01T04:29:59Z,JUPUSDT,fapi,0.6292,0.6325,0.571,0.5769,33802252,20480526.4644,108421,14088274,8552628.4358
2024-02-01T04:30:00Z,2024-02-01T04:59:59Z,JUPUSDT,fapi,0.5769,0.6007,0.5619,0.585,28808594,16863371.9519,75952,14341751,8406171.4819
2024-02-01T05:00:00Z,2024-02-01T05:29:59Z,JUPUSDT,fapi,0.5851,0.5972,0.5682,0.5897,20680893,12066900.2472,62961,10185614,5951021.7754
2024-02-01T05:30:00Z,2024-02-01T05:59:59Z,JUPUSDT,fapi,0.5897,0.5952,0.575,0.5777,11594193,6775182.8464,35529,5526141,3234786.97
2024-02-01T06:00:00Z,2024-02-01T06:29:59Z,JUPUSDT,fapi,0.5777,0.6105,0.5768,0.6056,18259620,10866362.5258,54625,9823666,5848854.3765
2024-02-01T06:30:00Z,2024-02-01T06:59:59Z,JUPUSDT,fapi,0.6056,0.6056,0.58,0.5873,12069991,7172543.8834,36852,5166526,3072756.904
2024-02-01T07:00:00Z,2024-02-01T07:29:59Z,JUPUSDT,fapi,0.5873,0.603,0.5821,0.5994,9590139,5682190.1369,30216,5205745,3086383.8306
2024-02-01T07:30:00Z,2024-02-01T07:59:59Z,JUPUSDT,fapi,0.5993,0.5994,0.5732,0.5777,15315798,8948768.528,45731,6757828,3950096.019
2024-02-01T08:00:00Z,2024-02-01T08:29:59Z,JUPUSDT,fapi,0.5777,0.5926,0.5769,0.5876,13566655,7955099.9911,34776,7319635,4293136.5355
2024-02-01T08:30:00Z,2024-02-01T08:59:59Z,JUPUSDT,fapi,0.5877,0.5906,0.5784,0.5857,10545966,6162477.0761,30615,5028939,2940556.7972
2024-02-01T09:00:00Z,2024-02-01T09:29:59Z,JUPUSDT,fapi,0.5857,0.5903,0.5512,0.5676,28908535,16424839.0043,75204,12832741,7294824.2213
