date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-09T08:00:00Z,2024-01-09T11:59:59Z,XAIUSDT,spot,0.02,1.2,0.02,0.7375,165702781.6,119130557.52587,437776,82498653,59470456.7641
2024-01-09T12:00:00Z,2024-01-09T15:59:59Z,XAIUSDT,spot,0.7377,0.74,0.615,0.628,69568069.5,46635438.89646,175829,32401208.2,21729317.12521
2024-01-09T16:00:00Z,2024-01-09T19:59:59Z,XAIUSDT,spot,0.628,0.636,0.53,0.5786,66653372.7,38117285.27129,140688,29752371.7,16997305.35247
2024-01-09T20:00:00Z,2024-01-09T23:59:59Z,XAIUSDT,spot,0.5792,0.6172,0.54,0.601,39324479.2,22697240.43339,97472,20131768.2,11634084.46696
2024-01-10T00:00:00Z,2024-01-10T03:59:59Z,XAIUSDT,spot,0.6009,0.6383,0.5399,0.5819,35380965.5,20731640.9344,112430,17521325.9,10304722.3954
2024-01-10T04:00:00Z,2024-01-10T07:59:59Z,XAIUSDT,spot,0.5814,0.597,0.5409,0.5451,21889975.4,12482648.55668,66884,10248150.3,5862512.89305
2024-01-10T08:00:00Z,2024-01-10T11:59:59Z,XAIUSDT,spot,0.545,0.5487,0.5105,0.5344,29019077.3,15364356.06156,79575,13187748.1,6990421.40434
2024-01-10T12:00:00Z,2024-01-10T15:59:59Z,XAIUSDT,spot,0.5345,0.5398,0.461,0.4707,31327550,15542560.66229,84223,14203008.1,7059351.78876
2024-01-10T16:00:00Z,2024-01-10T19:59:59Z,XAIUSDT,spot,0.4709,0.4979,0.4517,0.4898,29631501.2,13936615.54036,65133,14616219.4,6887474.90151
2024-01-10T20:00:00Z,2024-01-10T23:59:59Z,XAIUSDT,spot,0.4894,0.6729,0.4663,0.648,66694871.2,38351045.48355,125158,36143119,20828191.47544
2024-01-11T00:00:00Z,2024-01-11T03:59:59Z,XAIUSDT,spot,0.648,0.6676,0.5901,0.6388,35540231.5,22270907.19139,93228,17427008.1,10929737.21226
2024-01-11T04:00:00Z,2024-01-11T07:59:59Z,XAIUSDT,spot,0.6392,0.7332,0.618,0.6762,50539878.1,34882066.12017,142774,27439220,18955983.34915
2024-01-11T08:00:00Z,2024-01-11T11:59:59Z,XAIUSDT,spot,0.6765,0.6904,0.6202,0.6582,37165502.1,24321881.43189,103704,18820953.5,12303019.91471
2024-01-11T12:00:00Z,2024-01-11T15:59:59Z,XAIUSDT,spot,0.6582,0.6828,0.5913,0.6082,31339581.3,20020180.31971,80408,14172940.4,9066415.67013
2024-01-11T16:00:00Z,2024-01-11T19:59:59Z,XAIUSDT,spot,0.6085,0.668,0.608,0.6356,19160867.7,12268878.56648,49858,9823866.7,6294760.04246
2024-01-11T20:00:00Z,2024-01-11T23:59:59Z,XAIUSDT,spot,0.6354,0.6859,0.6325,0.6358,15493594.1,10179186.89326,44466,8142066.7,5356395.60164
2024-01-12T00:00:00Z,2024-01-12T03:59:59Z,XAIUSDT,spot,0.6356,0.6384,0.597,0.6,11142000.8,6828188.84707,27130,5250075.9,3219777.68447
2024-01-12T04:00:00Z,2024-01-12T07:59:59Z,XAIUSDT,spot,0.5993,0.6065,0.5775,0.5942,12591464.5,7475656.80182,28424,5128879.4,3048140.0715
2024-01-12T08:00:00Z,2024-01-12T11:59:59Z,XAIUSDT,spot,0.5946,0.599,0.5708,0.5832,11624872.5,6788667.43921,28990,5432955.1,3173121.89476
2024-01-12T12:00:00Z,2024-01-12T15:59:59Z,XAIUSDT,spot,0.5832,0.5982,0.5661,0.5759,13227632.4,7712150.94892,26858,5705568.4,3333112.85311
2024-01-12T16:00:00Z,2024-01-12T19:59:59Z,XAIUSDT,spot,0.5759,0.5882,0.5587,0.5698,10255173.2,5874944.92303,20514,4617461.5,2648063.8644
2024-01-12T20:00:00Z,2024-01-12T23:59:59Z,XAIUSDT,spot,0.5695,0.5844,0.53,0.5816,10264838.5,5755205.74289,23666,4998760.3,2810132.28579
2024-01-13T00:00:00Z,2024-01-13T03:59:59Z,XAIUSDT,spot,0.5816,0.5817,0.535,0.557,7535894.1,4197386.46979,16346,3342977.7,1861160.48939
2024-01-13T04:00:00Z,2024-01-13T07:59:59Z,XAIUSDT,spot,0.5571,0.5694,0.55,0.5516,5908630.2,3299274.41398,11638,2825279.3,1579178.65701
2024-01-13T08:00:00Z,2024-01-13T11:59:59Z,XAIUSDT,spot,0.5519,0.5893,0.5517,0.5571,10078192.2,5728471.71199,17399,4719180.9,2683427.65156
2024-01-13T12:00:00Z,2024-01-13T15:59:59Z,XAIUSDT,spot,0.5574,0.6294,0.5523,0.6107,22803303.6,13572346.46182,37990,11746428.4,6975863.25971
