date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-08T00:00:00Z,2024-01-14T23:59:59Z,XAIUSDT,spot,0.02,1.2,0.02,0.8784,1149699274.6,759567089.98356,2800881,571560289.1,380115822.52227
2024-01-15T00:00:00Z,2024-01-21T23:59:59Z,XAIUSDT,spot,0.8788,1.2362,0.7717,0.8067,1179900955.4,1159676594.7983,3963294,588422277.1,579369543.6633
2024-01-22T00:00:00Z,2024-01-28T23:59:59Z,XAIUSDT,spot,0.8067,0.9274,0.6613,0.832,610915910.2,480344225.25433,1978673,303361377.7,238661304.61246
2024-01-29T00:00:00Z,2024-02-04T23:59:59Z,XAIUSDT,spot,0.832,0.9034,0.7332,0.7693,391755221.7,319316321.4884,1472004,192147638.8,156747589.2835
2024-02-05T00:00:00Z,2024-02-11T23:59:59Z,XAIUSDT,spot,0.7693,1.068,0.75,0.9986,354268510.9,316610423.91224,1377702,178300486.7,159610190.57796
2024-02-12T00:00:00Z,2024-02-18T23:59:59Z,XAIUSDT,spot,0.9986,1.2,0.92,1.1558,374224287.4,392120249.47286,1894897,186884046.3,196123874.29385
2024-02-19T00:00:00Z,2024-02-25T23:59:59Z,XAIUSDT,spot,1.1559,1.5995,1.1511,1.5304,518238427.5,703502757.86341,3973949,259625989,352778396.48798
2024-02-26T00:00:00Z,2024-03-03T23:59:59Z,XAIUSDT,spot,1.5301,1.585,1.144,1.3314,309032657.9,428609878.36543,2624790,151692081.2,210377693.35341
2024-03-04T00:00:00Z,2024-03-10T23:59:59Z,XAIUSDT,spot,1.3316,1.593,1.011,1.4314,327752324.5,447785774.75708,2780339,161224596.1,220537479.82761
2024-03-11T00:00:00Z,2024-03-17T23:59:59Z,XAIUSDT,spot,1.4311,1.637,1.1512,1.2796,234786627.6,323536788.04544,2157800,114461736.4,158007024.0851
2024-03-18T00:00:00Z,2024-03-24T23:59:59Z,XAIUSDT,spot,1.2798,1.3349,0.998,1.2108,134836224.1,157736338.69424,1280549,65655729.4,76896541.46989
2024-03-25T00:00:00Z,2024-03-31T23:59:59Z,XAIUSDT,spot,1.211,1.351,1.1953,1.223,82756720.8,104120632.47632,774232,42135423.7,53036550.14426
2024-04-01T00:00:00Z,2024-04-07T23:59:59Z,XAIUSDT,spot,1.223,1.2593,0.999,1.0909,82181814.6,89103704.32119,731327,39113100.5,42456321.86633
2024-04-08T00:00:00Z,2024-04-14T23:59:59Z,XAIUSDT,spot,1.0908,1.175,0.5445,0.7373,165407126,138315451.17669,1389434,80467407.4,67082171.79316
2024-04-15T00:00:00Z,2024-04-21T23:59:59Z,XAIUSDT,spot,0.7375,0.798,0.613,0.7616,103641236.2,72856222.08067,756386,51303092.4,36167854.44246
2024-04-22T00:00:00Z,2024-04-28T23:59:59Z,XAIUSDT,spot,0.7614,0.8697,0.6751,0.7189,74702265.9,57071533.42165,473313,36187402.8,27675467.00329
2024-04-29T00:00:00Z,2024-05-05T23:59:59Z,XAIUSDT,spot,0.7185,0.7757,0.6253,0.7586,56761216.7,39652725.88121,381451,27201766.9,18996543.06781
2024-05-06T00:00:00Z,2024-05-12T23:59:59Z,XAIUSDT,spot,0.7584,0.79,0.6148,0.6343,61773820.9,41795597.12389,404578,28230886.2,19078835.88653
2024-05-13T00:00:00Z,2024-05-19T23:59:59Z,XAIUSDT,spot,0.6343,0.649,0.572,0.5931,55265578.7,34035153.63371,348728,26975661.9,16615471.55006
2024-05-20T00:00:00Z,2024-05-26T23:59:59Z,XAIUSDT,spot,0.5932,0.7888,0.575,0.7224,120382011.4,86526556.98039,829503,60636541.7,43591805.23905
2024-05-27T00:00:00Z,2024-06-02T23:59:59Z,XAIUSDT,spot,0.7221,0.8639,0.7212,0.8554,130567561.4,103265597.01545,858019,63987160.3,50650478.65281
2024-06-03T00:00:00Z,2024-06-09T23:59:59Z,XAIUSDT,spot,0.8553,0.9669,0.6934,0.7356,142304270.1,122889427.71392,1048827,68966545.6,59626717.25207
