date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-31T00:00:00Z,2024-01-31T23:59:59Z,JUPUSDT,spot,0.03,0.872,0.03,0.6617,340888320.4,235878210.88436,797331,180275007.7,125548318.39653
2024-02-01T00:00:00Z,2024-02-01T23:59:59Z,JUPUSDT,spot,0.6617,0.6843,0.5501,0.6024,375796992.5,225835656.42812,889661,186046477.7,111871228.31276
2024-02-02T00:00:00Z,2024-02-02T23:59:59Z,JUPUSDT,spot,0.6024,0.65,0.5764,0.6171,256145246.6,157367607.20236,544188,130861976,80443254.0893
2024-02-03T00:00:00Z,2024-02-03T23:59:59Z,JUPUSDT,spot,0.6174,0.621,0.5615,0.5649,143519463.8,83324340.47376,295497,70024243,40689315.97581
2024-02-04T00:00:00Z,2024-02-04T23:59:59Z,JUPUSDT,spot,0.5649,0.5731,0.5236,0.5305,139925342.3,77048322.3348,272605,67845807.1,37386210.96383
2024-02-05T00:00:00Z,2024-02-05T23:59:59Z,JUPUSDT,spot,0.5303,0.5713,0.5202,0.541,124239379.6,67715763.78928,237005,63852848.9,34828647.94408
2024-02-06T00:00:00Z,2024-02-06T23:59:59Z,JUPUSDT,spot,0.541,0.5435,0.505,0.5319,98017488.6,51451816.35572,179419,48640635.6,25545010.46748
2024-02-07T00:00:00Z,2024-02-07T23:59:59Z,JUPUSDT,spot,0.5318,0.6045,0.5125,0.5545,186482309.7,104685885.66022,349179,92978804.2,52199474.57187
2024-02-08T00:00:00Z,2024-02-08T23:59:59Z,JUPUSDT,spot,0.5542,0.5628,0.501,0.5099,144996375.7,78113537.46897,272801,67370310.8,36332305.02959
2024-02-09T00:00:00Z,2024-02-09T23:59:59Z,JUPUSDT,spot,0.5099,0.5277,0.4887,0.5096,186097016.7,93831386.05954,346717,88210045.8,44497867.2828
2024-02-10T00:00:00Z,2024-02-10T23:59:59Z,JUPUSDT,spot,0.5096,0.527,0.4952,0.5044,74781354.6,38227395.89417,149301,35843601.5,18328488.04178
2024-02-11T00:00:00Z,2024-02-11T23:59:59Z,JUPUSDT,spot,0.5045,0.5235,0.5012,0.5066,81757571.8,41876678.29171,156491,38278672.5,19605138.30076
2024-02-12T00:00:00Z,2024-02-12T23:59:59Z,JUPUSDT,spot,0.5067,0.5134,0.431,0.5064,134643900.5,65387907.58654,238211,64576750.3,31331377.38357
2024-02-13T00:00:00Z,2024-02-13T23:59:59Z,JUPUSDT,spot,0.5063,0.5173,0.4704,0.4794,95844705.1,47199429.0859,201341,44796963.6,22065214.89971
2024-02-14T00:00:00Z,2024-02-14T23:59:59Z,JUPUSDT,spot,0.4794,0.5355,0.4705,0.5292,154414608.9,78149924.46331,268953,76260672.9,38658650.21649
2024-02-15T00:00:00Z,2024-02-15T23:59:59Z,JUPUSDT,spot,0.5291,0.5648,0.5,0.5169,142717689.7,75898069.45964,292948,70224055.6,37388752.4022
2024-02-16T00:00:00Z,2024-02-16T23:59:59Z,JUPUSDT,spot,0.5168,0.5354,0.4905,0.5141,90114351.1,46629358.07164,172376,44400481.4,22986781.43915
2024-02-17T00:00:00Z,2024-02-17T23:59:59Z,JUPUSDT,spot,0.5142,0.522,0.4802,0.5036,60347787.8,30451417.28691,126757,28735288.7,14514398.41307
2024-02-18T00:00:00Z,2024-02-18T23:59:59Z,JUPUSDT,spot,0.5036,0.5581,0.498,0.5346,114437925.2,60640006.72918,198150,53795128.2,28517098.34717
2024-02-19T00:00:00Z,2024-02-19T23:59:59Z,JUPUSDT,spot,0.5347,0.5554,0.5211,0.5263,106465323.3,57119372.70075,212424,49941107.1,26821459.59635
2024-02-20T00:00:00Z,2024-02-20T23:59:59Z,JUPUSDT,spot,0.5264,0.5309,0.4519,0.5054,110535029.8,56250375.47323,221099,54233963.2,27581958.15853
2024-02-21T00:00:00Z,2024-02-21T23:59:59Z,JUPUSDT,spot,0.5054,0.506,0.4536,0.4748,77114490.1,36734475.13662,157480,37211268.7,17701983.15263
2024-02-22T00:00:00Z,2024-02-22T23:59:59Z,JUPUSDT,spot,0.4748,0.4876,0.4556,0.4692,73050907.7,34694659.53134,138512,34697740.8,16470691.15709
2024-02-23T00:00:00Z,2024-02-23T23:59:59Z,JUPUSDT,spot,0.4691,0.505,0.4617,0.4812,133926182.1,64819776.21108,256103,65563987.1,31760553.61382
2024-02-24T00:00:00Z,2024-02-24T23:59:59Z,JUPUSDT,spot,0.481,0.525,0.4705,0.4907,117591660.6,58768230.66199,230336,56841665.1,28421000.68141
2024-02-25T00:00:00Z,2024-02-25T23:59:59Z,JUPUSDT,spot,0.4907,0.507,0.4854,0.4973,45234603.7,22363688.65423,96677,21706355.4,10734342.53312
2024-02-26T00:00:00Z,2024-02-26T23:59:59Z,JUPUSDT,spot,0.4973,0.5087,0.4722,0.5028,66345737.5,32643415.10348,129720,32793407.5,16134612.07711
2024-02-27T00:00:00Z,2024-02-27T23:59:59Z,JUPUSDT,spot,0.5028,0.5345,0.49,0.5043,119903075.6,61580077.315,229480,59312050.4,30483462.75248
2024-02-28T00:00:00Z,2024-02-28T23:59:59Z,JUPUSDT,spot,0.5042,0.5431,0.45,0.5106,148665928.6,75232329.80312,302702,71536355.8,36267007.23521
2024-02-29T00:00:00Z,2024-02-29T23:59:59Z,JUPUSDT,spot,0.5107,0.5932,0.5067,0.5469,219957410,122472730.88685,515153,109761522.7,61109396.41822
2024-03-01T00:00:00Z,2024-03-01T23:59:59Z,JUPUSDT,spot,0.547,0.6486,0.5457,0.6149,206866106.2,126366748.033,459479,103855888,63391921.09593
2024-03-02T00:00:00Z,2024-03-02T23:59:59Z,JUPUSDT,spot,0.615,0.6255,0.5759,0.6026,107644771.8,64166617.94124,240157,50238309.5,29960485.22746
2024-03-03T00:00:00Z,2024-03-03T23:59:59Z,JUPUSDT,spot,0.6025,0.6444,0.5413,0.6325,119474247.6,72658280.37601,294057,60094710.7,36569767.08625
2024-03-04T00:00:00Z,2024-03-04T23:59:59Z,JUPUSDT,spot,0.6325,0.6493,0.5661,0.5904,108729375.5,66034529.25797,276334,53097723,32279017.97332
2024-03-05T00:00:00Z,2024-03-05T23:59:59Z,JUPUSDT,spot,0.5907,0.6317,0.47,0.5773,163532794.5,95931427.10883,393705,78951997,46404928.17795
2024-03-06T00:00:00Z,2024-03-06T23:59:59Z,JUPUSDT,spot,0.5774,0.5981,0.5348,0.5895,70782883,40564547.68828,165364,34377979.3,19712641.5902
2024-03-07T00:00:00Z,2024-03-07T23:59:59Z,JUPUSDT,spot,0.5898,0.785,0.5858,0.7435,264090539.6,187597420.92992,723876,138057064.4,97912384.89482
2024-03-08T00:00:00Z,2024-03-08T23:59:59Z,JUPUSDT,spot,0.7437,0.7709,0.6756,0.7196,108778459.1,79274574.7817,352749,55266711.1,40290323.81895
2024-03-09T00:00:00Z,2024-03-09T23:59:59Z,JUPUSDT,spot,0.7196,0.792,0.7062,0.742,91872602.3,69065931.03695,283783,46583729.7,35040469.59712
2024-03-10T00:00:00Z,2024-03-10T23:59:59Z,JUPUSDT,spot,0.7421,0.8244,0.7371,0.7844,125215401.9,97425951.7969,403442,63347974,49303562.86424
2024-03-11T00:00:00Z,2024-03-11T23:59:59Z,JUPUSDT,spot,0.7846,0.7914,0.735,0.766,74571297,56704176.05117,237308,36636496.6,27887932.33693
2024-03-12T00:00:00Z,2024-03-12T23:59:59Z,JUPUSDT,spot,0.7664,0.838,0.7603,0.8221,119049486.3,95773282.1528,482269,60462167.3,48681365.96568
2024-03-13T00:00:00Z,2024-03-13T23:59:59Z,JUPUSDT,spot,0.8219,0.95,0.8,0.919,112324678.5,98296305.32372,450992,58610875.8,51283561.46268
2024-03-14T00:00:00Z,2024-03-14T23:59:59Z,JUPUSDT,spot,0.919,0.9888,0.8652,0.9462,103735331.8,96890942.65492,486074,51518815.1,48186434.49333
2024-03-15T00:00:00Z,2024-03-15T23:59:59Z,JUPUSDT,spot,0.946,1.2343,0.8718,1.21,293549356.8,306139822.049,1334114,149059468,155726267.74166
2024-03-16T00:00:00Z,2024-03-16T23:59:59Z,JUPUSDT,spot,1.21,1.569,1.15,1.3109,377678654.1,515031400.03622,2136084,188821872.1,257513712.36822
2024-03-17T00:00:00Z,2024-03-17T23:59:59Z,JUPUSDT,spot,1.3109,1.4703,1.2052,1.428,197083512.7,263567153.35431,1254854,102148942.5,136681975.14691
2024-03-18T00:00:00Z,2024-03-18T23:59:59Z,JUPUSDT,spot,1.428,1.6114,1.3024,1.3716,170044824.5,243762142.21012,1200654,86851186.7,124638968.15362
2024-03-19T00:00:00Z,2024-03-19T23:59:59Z,JUPUSDT,spot,1.3714,1.4165,1.1117,1.1357,157238871.4,194016486.84617,924819,80383704.9,99091605.5019
2024-03-20T00:00:00Z,2024-03-20T23:59:59Z,JUPUSDT,spot,1.1355,1.3648,1.0526,1.3526,105782267.2,125845962.90609,604800,58176136,69336991.76842
2024-03-21T00:00:00Z,2024-03-21T23:59:59Z,JUPUSDT,spot,1.3528,1.4376,1.215,1.2332,74897992,98415153.40903,384704,39834466.7,52355567.86646
2024-03-22T00:00:00Z,2024-03-22T23:59:59Z,JUPUSDT,spot,1.2331,1.2535,1.1418,1.2286,46393100,55815633.85203,240234,24250368.4,29199099.08346
2024-03-23T00:00:00Z,2024-03-23T23:59:59Z,JUPUSDT,spot,1.2286,1.2437,1.1647,1.1662,36142228.9,43798990.95737,180002,20274632.4,24577331.40839
2024-03-24T00:00:00Z,2024-03-24T23:59:59Z,JUPUSDT,spot,1.1666,1.3224,1.1493,1.2939,43076027.9,52352840.51683,209827,22953790.3,27851206.67431
2024-03-25T00:00:00Z,2024-03-25T23:59:59Z,JUPUSDT,spot,1.294,1.3689,1.2539,1.3397,60489973.5,79362177.31396,301515,31582353.1,41428769.7885
2024-03-26T00:00:00Z,2024-03-26T23:59:59Z,JUPUSDT,spot,1.3398,1.418,1.3046,1.3428,47686077.1,64726983.77555,277170,24793014.5,33665219.93751
2024-03-27T00:00:00Z,2024-03-27T23:59:59Z,JUPUSDT,spot,1.3428,1.36,1.2457,1.3062,45112484.6,58618864.48998,228454,22932647.1,29814085.10733
2024-03-28T00:00:00Z,2024-03-28T23:59:59Z,JUPUSDT,spot,1.3059,1.3356,1.2389,1.3219,38514190.2,49580424.7432,200689,20581301.9,26525929.73926
2024-03-29T00:00:00Z,2024-03-29T23:59:59Z,JUPUSDT,spot,1.3219,1.4114,1.2414,1.3877,40255404,52311523.64894,228869,21462683.8,27889502.12826
2024-03-30T00:00:00Z,2024-03-30T23:59:59Z,JUPUSDT,spot,1.3877,1.5786,1.3608,1.4997,109098405.8,162930661.82729,584308,56629489.4,84597071.49331
2024-03-31T00:00:00Z,2024-03-31T23:59:59Z,JUPUSDT,spot,1.4996,1.7904,1.4509,1.7431,65203036.7,102962402.49166,366191,34182239,54092762.47166
2024-04-01T00:00:00Z,2024-04-01T23:59:59Z,JUPUSDT,spot,1.743,1.8476,1.6236,1.6626,104887385.1,182816190.88905,689497,53551200.2,93333339.29975
2024-04-02T00:00:00Z,2024-04-02T23:59:59Z,JUPUSDT,spot,1.6629,1.6943,1.5089,1.5685,100537727,160855822.09381,551560,51070238.4,81629825.22174
2024-04-03T00:00:00Z,2024-04-03T23:59:59Z,JUPUSDT,spot,1.5684,1.7364,1.4992,1.5584,77067108,126732501.33193,452410,40212207,66156095.98337
2024-04-04T00:00:00Z,2024-04-04T23:59:59Z,JUPUSDT,spot,1.5584,1.6326,1.45,1.468,55275594.7,85425250.40171,286637,27194464.5,42067498.7794
2024-04-05T00:00:00Z,2024-04-05T23:59:59Z,JUPUSDT,spot,1.468,1.4708,1.2856,1.3405,76186996.7,103000392.62291,313352,36915676.4,49912193.06273
2024-04-06T00:00:00Z,2024-04-06T23:59:59Z,JUPUSDT,spot,1.3408,1.4541,1.3293,1.416,34895435.4,48130043.40834,180160,17645762.6,24319337.29749
2024-04-07T00:00:00Z,2024-04-07T23:59:59Z,JUPUSDT,spot,1.416,1.48,1.3721,1.3955,28049682.4,39928607.34238,143381,13767103.2,19611485.52964
2024-04-08T00:00:00Z,2024-04-08T23:59:59Z,JUPUSDT,spot,1.3955,1.4932,1.3568,1.4413,34786639.7,50001825.62781,161883,17461917.2,25110475.95315
2024-04-09T00:00:00Z,2024-04-09T23:59:59Z,JUPUSDT,spot,1.4412,1.4713,1.2921,1.3299,37030771.3,50933162.96951,168276,17705598.5,24359773.26404
2024-04-10T00:00:00Z,2024-04-10T23:59:59Z,JUPUSDT,spot,1.3299,1.3862,1.2388,1.3509,30255286.7,40034218.60665,180746,15314911.6,20302149.67405
2024-04-11T00:00:00Z,2024-04-11T23:59:59Z,JUPUSDT,spot,1.351,1.3806,1.2563,1.2651,28686556.5,37674466.93944,175360,14421372.5,18955176.07331
2024-04-12T00:00:00Z,2024-04-12T23:59:59Z,JUPUSDT,spot,1.2645,1.3,0.8367,1.0434,68093595,75188763.50273,389938,33154276.1,36522424.00412
2024-04-13T00:00:00Z,2024-04-13T23:59:59Z,JUPUSDT,spot,1.0433,1.1069,0.7534,0.9685,95522802.6,92696885.56453,597719,48164479.4,46732877.56398
2024-04-14T00:00:00Z,2024-04-14T23:59:59Z,JUPUSDT,spot,0.9686,1.1135,0.9023,1.1016,82326506.4,82737375.6044,515665,42712505.7,42988352.09532
2024-04-15T00:00:00Z,2024-04-15T23:59:59Z,JUPUSDT,spot,1.1015,1.152,0.9713,1.0023,57661041.3,60801234.31876,358030,28567083.6,30131627.47981
2024-04-16T00:00:00Z,2024-04-16T23:59:59Z,JUPUSDT,spot,1.0024,1.025,0.8986,0.9691,48975453.4,46890942.41322,232420,23875825.9,22864030.4944
2024-04-17T00:00:00Z,2024-04-17T23:59:59Z,JUPUSDT,spot,0.9689,1.016,0.9112,0.9457,45223942.5,43505498.27446,224944,22244647,21406937.12734
2024-04-18T00:00:00Z,2024-04-18T23:59:59Z,JUPUSDT,spot,0.9456,1.0473,0.9037,1.0299,40477292.7,39250282.39408,190109,21547759.5,20861300.26085
