date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-09T14:00:00Z,2024-01-09T14:29:59Z,XAIUSDT,fapi,0.697,0.7052,0.665,0.667,3628778,2468720.5388,11843,1780506,1211240.42
2024-01-09T14:30:00Z,2024-01-09T14:59:59Z,XAIUSDT,fapi,0.6672,0.6747,0.62,0.6228,8355235,5433020.3669,25803,4327355,2817269.1661
2024-01-09T15:00:00Z,2024-01-09T15:29:59Z,XAIUSDT,fapi,0.623,0.6396,0.615,0.6286,9767489,6117676.7723,34182,5071573,3177773.7132
2024-01-09T15:30:00Z,2024-01-09T15:59:59Z,XAIUSDT,fapi,0.6286,0.6489,0.6251,0.6259,8099059,5141124.8087,29780,4091842,2598932.5378
2024-01-09T16:00:00Z,2024-01-09T16:29:59Z,XAIUSDT,fapi,0.627,0.6365,0.5986,0.6131,11621304,7122090.496,40049,5858219,3590624.6729
2024-01-09T16:30:00Z,2024-01-09T16:59:59Z,XAIUSDT,fapi,0.6132,0.6189,0.6018,0.6048,6347025,3868487.9149,25846,3094405,1887183.2906
2024-01-09T17:00:00Z,2024-01-09T17:29:59Z,XAIUSDT,fapi,0.6048,0.6063,0.5481,0.559,27696942,15835423.5132,90983,13299656,7600074.8161
2024-01-09T17:30:00Z,2024-01-09T17:59:59Z,XAIUSDT,fapi,0.559,0.5721,0.535,0.5578,17793296,9846039.8078,55632,9477522,5249412.7681
2024-01-09T18:00:00Z,2024-01-09T18:29:59Z,XAIUSDT,fapi,0.5578,0.5755,0.554,0.5686,9519094,5392079.0639,35004,5244828,2972790.7682
2024-01-09T18:30:00Z,2024-01-09T18:59:59Z,XAIUSDT,fapi,0.5691,0.5716,0.5369,0.5445,12793431,7060429.1634,41452,6117888,3380379.7157
2024-01-09T19:00:00Z,2024-01-09T19:29:59Z,XAIUSDT,fapi,0.5445,0.56,0.5271,0.5395,16369543,8889985.1991,53453,8413700,4571525.3711
2024-01-09T19:30:00Z,2024-01-09T19:59:59Z,XAIUSDT,fapi,0.54,0.5846,0.5394,0.5796,14614393,8155064.5631,46960,8128308,4539230.5467
2024-01-09T20:00:00Z,2024-01-09T20:29:59Z,XAIUSDT,fapi,0.579,0.5966,0.5635,0.5832,20782831,12101637.8636,83936,10356492,6032816.1026
2024-01-09T20:30:00Z,2024-01-09T20:59:59Z,XAIUSDT,fapi,0.5836,0.5839,0.54,0.5566,13711157,7687601.3436,47124,6862047,3845893.4981
2024-01-09T21:00:00Z,2024-01-09T21:29:59Z,XAIUSDT,fapi,0.5568,0.58,0.5384,0.5591,16015863,8926086.8615,63279,8031294,4481758.4324
2024-01-09T21:30:00Z,2024-01-09T21:59:59Z,XAIUSDT,fapi,0.5594,0.5699,0.5449,0.5534,8062524,4480899.6311,27796,4089158,2273698.8398
2024-01-09T22:00:00Z,2024-01-09T22:29:59Z,XAIUSDT,fapi,0.554,0.5916,0.5533,0.5831,10407504,5963666.1429,41303,5562562,3189005.5823
2024-01-09T22:30:00Z,2024-01-09T22:59:59Z,XAIUSDT,fapi,0.5827,0.6088,0.575,0.6077,10938717,6454098.236,41455,5760778,3403077.8212
2024-01-09T23:00:00Z,2024-01-09T23:29:59Z,XAIUSDT,fapi,0.6077,0.6174,0.5754,0.5821,9343188,5545544.7461,39712,4532469,2693964.864
2024-01-09T23:30:00Z,2024-01-09T23:59:59Z,XAIUSDT,fapi,0.5824,0.61,0.581,0.6006,5836546,3491122.6843,26689,3115010,1863392.7186
