date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-08T00:00:00Z,2024-01-14T23:59:59Z,XAIUSDT,fapi,0.697,0.9505,0.4512,0.8793,3109784711,2122630038.2419,10036731,1551872884,1062999806.1036
2024-01-15T00:00:00Z,2024-01-21T23:59:59Z,XAIUSDT,fapi,0.8793,1.238,0.7728,0.8073,5840108891,5792928530.0622,24858765,2890125309,2871176167.1993
2024-01-22T00:00:00Z,2024-01-28T23:59:59Z,XAIUSDT,fapi,0.8074,0.9277,0.664,0.8323,2082316038,1630308530.3222,7582271,1006923349,788548288.4367
2024-01-29T00:00:00Z,2024-02-04T23:59:59Z,XAIUSDT,fapi,0.8323,0.903,0.7334,0.7696,1364958410,1106542415.9452,4882240,654556270,530787408.8818
2024-02-05T00:00:00Z,2024-02-11T23:59:59Z,XAIUSDT,fapi,0.7696,1.0686,0.7501,0.9995,1227615017,1094831249.6904,5349793,597906648,533259149.7426
2024-02-12T00:00:00Z,2024-02-18T23:59:59Z,XAIUSDT,fapi,0.9996,1.2067,0.9206,1.1573,1169839742,1226478628.3461,5750156,562854484,590661347.7097
2024-02-19T00:00:00Z,2024-02-25T23:59:59Z,XAIUSDT,fapi,1.1573,1.6,1.1526,1.5315,1674566607,2278189693.5003,11219473,816034608,1110812892.0401
2024-02-26T00:00:00Z,2024-03-03T23:59:59Z,XAIUSDT,fapi,1.5314,1.5866,1.114,1.3328,862476425,1198925673.5034,6875276,406355829,565644626.5134
2024-03-04T00:00:00Z,2024-03-10T23:59:59Z,XAIUSDT,fapi,1.3329,1.6,1.0009,1.4324,880465558,1194268911.2399,6739232,415853686,564869035.6091
2024-03-11T00:00:00Z,2024-03-17T23:59:59Z,XAIUSDT,fapi,1.4325,1.64,1.1526,1.2813,653435055,896129722.4966,5094052,312441777,428754000.0605
2024-03-18T00:00:00Z,2024-03-24T23:59:59Z,XAIUSDT,fapi,1.2812,1.3292,1,1.2116,443013937,515819806.743,3367391,212993699,247962208.5572
2024-03-25T00:00:00Z,2024-03-31T23:59:59Z,XAIUSDT,fapi,1.2116,1.3526,1.1962,1.2245,235988317,297182080.0332,1881735,110868494,139667206.2208
2024-04-01T00:00:00Z,2024-04-07T23:59:59Z,XAIUSDT,fapi,1.2246,1.2607,1,1.0916,240238336,261170788.7353,1664680,113998560,123931379.5399
2024-04-08T00:00:00Z,2024-04-14T23:59:59Z,XAIUSDT,fapi,1.0915,1.1755,0.5475,0.73740000000000006,485881818,412032433.4753,2827528,223275668,189254182.69190001
2024-04-15T00:00:00Z,2024-04-21T23:59:59Z,XAIUSDT,fapi,0.7373,0.7978,0.61240000000000006,0.7612,307739231,216441103.8828,1820298,149623167,105259447.0848
2024-04-22T00:00:00Z,2024-04-28T23:59:59Z,XAIUSDT,fapi,0.7612,0.8722,0.674,0.7178,223630631,170306423.1576,1367644,106234410,80964301.6432
2024-04-29T00:00:00Z,2024-05-05T23:59:59Z,XAIUSDT,fapi,0.718,0.7754,0.6233,0.7579,191498633,133970346.4057,1047183,92186737,64512250.9896
2024-05-06T00:00:00Z,2024-05-12T23:59:59Z,XAIUSDT,fapi,0.7579,0.7896,0.6141,0.6341,216608990,146541150.5213,1025252,102392600,69347096.7057
2024-05-13T00:00:00Z,2024-05-19T23:59:59Z,XAIUSDT,fapi,0.634,0.6515,0.5715,0.5927,192734352,118793165.4711,851474,91844263,56647434.7347
2024-05-20T00:00:00Z,2024-05-26T23:59:59Z,XAIUSDT,fapi,0.5928,0.7893,0.5745,0.7222,474092802,342186345.9156,2040277,228172401,164679491.0217
2024-05-27T00:00:00Z,2024-06-02T23:59:59Z,XAIUSDT,fapi,0.7222,0.863,0.7214,0.8552,448435420,353960619.3188,2109004,213957996,169015000.341
2024-06-03T00:00:00Z,2024-06-09T23:59:59Z,XAIUSDT,fapi,0.8552,0.9686,0.6857,0.7351,504516761,434898024.8487,2621565,237028765,204599797.1512
2024-06-10T00:00:00Z,2024-06-16T23:59:59Z,XAIUSDT,fapi,0.7351,0.7396,0.5596,0.6144,281825751,181979085.7047,1338984,133758989,86430363.7357
2024-06-17T00:00:00Z,2024-06-23T23:59:59Z,XAIUSDT,fapi,0.6143,0.6199,0.4517,0.5075,200676075,105070752.9531,748099,95487266,50010537.339
