date,adj,close,raw,div,split
1991-12-30,2.291667,2.291667,2.291667,0,1
1991-12-31,2.166667,2.166667,2.166667,0,1
1992-01-02,2.125,2.125,2.125,0,1
1992-01-03,2.3125,2.3125,2.3125,0,1
1992-01-06,2.583333,2.583333,2.583333,0,1
1992-01-07,2.75,2.75,2.75,0,1
1992-01-08,3.25,3.25,3.25,0,1
1992-01-09,3.208333,3.208333,3.208333,0,1
1992-01-10,3.041667,3.041667,3.041667,0,1
1992-01-13,3.083333,3.083333,3.083333,0,1
1992-01-14,3.333333,3.333333,3.333333,0,1
1992-01-15,2.958333,2.958333,2.958333,0,1
1992-01-16,3.166667,3.166667,3.166667,0,1
1992-01-17,3.083333,3.083333,3.083333,0,1
1992-01-20,2.833333,2.833333,2.833333,0,1
1992-01-21,2.729167,2.729167,2.729167,0,1
1992-01-22,2.791667,2.791667,2.791667,0,1
1992-01-23,2.791667,2.791667,2.791667,0,1
1992-01-24,2.791667,2.791667,2.791667,0,1
1992-01-27,2.625,2.625,2.625,0,1
1992-01-28,2.666667,2.666667,2.666667,0,1
1992-01-29,2.583333,2.583333,2.583333,0,1
1992-01-30,2.625,2.625,2.625,0,1
1992-01-31,2.583333,2.583333,2.583333,0,1
1992-02-03,2.5625,2.5625,2.5625,0,1
1992-02-04,2.5,2.5,2.5,0,1
1992-02-05,2.583333,2.583333,2.583333,0,1
1992-02-06,2.583333,2.583333,2.583333,0,1
1992-02-07,2.5,2.5,2.5,0,1
1992-02-10,2.333333,2.333333,2.333333,0,1
1992-02-11,2.291667,2.291667,2.291667,0,1
1992-02-12,2.208333,2.208333,2.208333,0,1
1992-02-13,2.458333,2.458333,2.458333,0,1
1992-02-14,2.291667,2.291667,2.291667,0,1
1992-02-18,2.125,2.125,2.125,0,1
1992-02-19,2.083333,2.083333,2.083333,0,1
1992-02-20,2.25,2.25,2.25,0,1
1992-02-21,2.270833,2.270833,2.270833,0,1
1992-02-24,2.291667,2.291667,2.291667,0,1
1992-02-25,2.208333,2.208333,2.208333,0,1
1992-02-26,2.375,2.375,2.375,0,1
1992-02-27,2.208333,2.208333,2.208333,0,1
1992-02-28,2.333333,2.333333,2.333333,0,1
1992-03-02,2.291667,2.291667,2.291667,0,1
1992-03-03,2.25,2.25,2.25,0,1
1992-03-04,2.333333,2.333333,2.333333,0,1
1992-03-05,2.25,2.25,2.25,0,1
1992-03-06,2.166667,2.166667,2.166667,0,1
1992-03-09,2.125,2.125,2.125,0,1
1992-03-10,2.166667,2.166667,2.166667,0,1
1992-03-11,2.083333,2.083333,2.083333,0,1
1992-03-12,2.125,2.125,2.125,0,1
1992-03-13,2,2,2,0,1
1992-03-16,1.916667,1.916667,1.916667,0,1
1992-03-17,1.958333,1.958333,1.958333,0,1
1992-03-18,1.875,1.875,1.875,0,1
1992-03-19,1.875,1.875,1.875,0,1
1992-03-20,1.875,1.875,1.875,0,1
1992-03-23,1.875,1.875,1.875,0,1
1992-03-24,1.916667,1.916667,1.916667,0,1
1992-03-25,1.833333,1.833333,1.833333,0,1
1992-03-26,1.916667,1.916667,1.916667,0,1
1992-03-27,1.895833,1.895833,1.895833,0,1
1992-03-30,1.916667,1.916667,1.916667,0,1
1992-03-31,1.833333,1.833333,1.833333,0,1
1992-04-01,1.791667,1.791667,1.791667,0,1
1992-04-02,1.833333,1.833333,1.833333,0,1
1992-04-03,1.875,1.875,1.875,0,1
1992-04-06,1.583333,1.583333,1.583333,0,1
1992-04-07,1.270833,1.270833,1.270833,0,1
1992-04-08,1.291667,1.291667,1.291667,0,1
1992-04-09,1.458333,1.458333,1.458333,0,1
1992-04-10,1.5,1.5,1.5,0,1
1992-04-13,1.5,1.5,1.5,0,1
1992-04-14,1.458333,1.458333,1.458333,0,1
1992-04-15,1.375,1.375,1.375,0,1
1992-04-16,1.333333,1.333333,1.333333,0,1
1992-04-20,1.125,1.125,1.125,0,1
1992-04-21,1.333333,1.333333,1.333333,0,1
1992-04-22,1.333333,1.333333,1.333333,0,1
1992-04-23,1.375,1.375,1.375,0,1
1992-04-24,1.375,1.375,1.375,0,1
1992-04-27,1.333333,1.333333,1.333333,0,1
1992-04-28,1.333333,1.333333,1.333333,0,1
1992-04-29,1.208333,1.208333,1.208333,0,1
1992-04-30,1.333333,1.333333,1.333333,0,1
1992-05-01,1.375,1.375,1.375,0,1
1992-05-04,1.291667,1.291667,1.291667,0,1
1992-05-05,1.416667,1.416667,1.416667,0,1
1992-05-06,1.229167,1.229167,1.229167,0,1
1992-05-07,1.25,1.25,1.25,0,1
1992-05-08,1.166667,1.166667,1.166667,0,1
1992-05-11,1.166667,1.166667,1.166667,0,1
1992-05-12,1.208333,1.208333,1.208333,0,1
1992-05-13,1.208333,1.208333,1.208333,0,1
1992-05-14,1.125,1.125,1.125,0,1
1992-05-15,1.083333,1.083333,1.083333,0,1
1992-05-18,1.104167,1.104167,1.104167,0,1
1992-05-19,1.166667,1.166667,1.166667,0,1
1992-05-20,1.166667,1.166667,1.166667,0,1
1992-05-21,1.166667,1.166667,1.166667,0,1
1992-05-22,1.104167,1.104167,1.104167,0,1
1992-05-26,1.041667,1.041667,1.041667,0,1
1992-05-27,1.208333,1.208333,1.208333,0,1
1992-05-28,1.291667,1.291667,1.291667,0,1
1992-05-29,1.333333,1.333333,1.333333,0,1
1992-06-01,1.375,1.375,1.375,0,1
1992-06-02,1.416667,1.416667,1.416667,0,1
1992-06-03,1.333333,1.333333,1.333333,0,1
1992-06-04,1.416667,1.416667,1.416667,0,1
1992-06-05,1.354167,1.354167,1.354167,0,1
1992-06-08,1.375,1.375,1.375,0,1
1992-06-09,1.333333,1.333333,1.333333,0,1
1992-06-10,1.291667,1.291667,1.291667,0,1
1992-06-11,1.354167,1.354167,1.354167,0,1
1992-06-12,1.375,1.375,1.375,0,1
1992-06-15,1.333333,1.333333,1.333333,0,1
1992-06-16,1.25,1.25,1.25,0,1
1992-06-17,1.25,1.25,1.25,0,1
1992-06-18,1.1875,1.1875,1.1875,0,1
1992-06-19,1.25,1.25,1.25,0,1
1992-06-22,1.25,1.25,1.25,0,1
1992-06-23,1.166667,1.166667,1.166667,0,1
1992-06-24,1.125,1.125,1.125,0,1
1992-06-25,1.1875,1.1875,1.1875,0,1
1992-06-26,1.125,1.125,1.125,0,1
1992-06-29,1.166667,1.166667,1.166667,0,1
1992-06-30,1.104167,1.104167,1.104167,0,1
1992-07-01,1.166667,1.166667,1.166667,0,1
1992-07-02,1.145833,1.145833,1.145833,0,1
1992-07-06,1.333333,1.333333,1.333333,0,1
1992-07-07,1.291667,1.291667,1.291667,0,1
1992-07-08,1.291667,1.291667,1.291667,0,1
1992-07-09,1.5,1.5,1.5,0,1
1992-07-10,1.4375,1.4375,1.4375,0,1
1992-07-13,1.333333,1.333333,1.333333,0,1
1992-07-14,1.333333,1.333333,1.333333,0,1
1992-07-15,1.291667,1.291667,1.291667,0,1
1992-07-16,1.25,1.25,1.25,0,1
1992-07-17,1.25,1.25,1.25,0,1
1992-07-20,1.25,1.25,1.25,0,1
1992-07-21,1.25,1.25,1.25,0,1
1992-07-22,1.1875,1.1875,1.1875,0,1
1992-07-23,1.166667,1.166667,1.166667,0,1
1992-07-24,1.166667,1.166667,1.166667,0,1
1992-07-27,1.333333,1.333333,1.333333,0,1
1992-07-28,1.291667,1.291667,1.291667,0,1
1992-07-29,1.333333,1.333333,1.333333,0,1
1992-07-30,1.416667,1.416667,1.416667,0,1
1992-07-31,1.416667,1.416667,1.416667,0,1
1992-08-03,1.416667,1.416667,1.416667,0,1
1992-08-04,1.375,1.375,1.375,0,1
1992-08-05,1.333333,1.333333,1.333333,0,1
1992-08-06,1.458333,1.458333,1.458333,0,1
1992-08-07,1.4375,1.4375,1.4375,0,1
1992-08-10,1.375,1.375,1.375,0,1
1992-08-11,1.416667,1.416667,1.416667,0,1
1992-08-12,1.416667,1.416667,1.416667,0,1
1992-08-13,1.333333,1.333333,1.333333,0,1
1992-08-14,1.416667,1.416667,1.416667,0,1
1992-08-17,1.333333,1.333333,1.333333,0,1
1992-08-18,1.333333,1.333333,1.333333,0,1
1992-08-19,1.375,1.375,1.375,0,1
1992-08-20,1.208333,1.208333,1.208333,0,1
1992-08-21,1.166667,1.166667,1.166667,0,1
1992-08-24,1.104167,1.104167,1.104167,0,1
1992-08-25,1.083333,1.083333,1.083333,0,1
1992-08-26,1.145833,1.145833,1.145833,0,1
1992-08-27,1.125,1.125,1.125,0,1
1992-08-28,1.125,1.125,1.125,0,1
1992-08-31,1.1875,1.1875,1.1875,0,1
1992-09-01,1.125,1.125,1.125,0,1
1992-09-02,1.208333,1.208333,1.208333,0,1
1992-09-03,1.166667,1.166667,1.166667,0,1
1992-09-04,1.166667,1.166667,1.166667,0,1
1992-09-08,1.083333,1.083333,1.083333,0,1
1992-09-09,1.166667,1.166667,1.166667,0,1
1992-09-10,1.208333,1.208333,1.208333,0,1
1992-09-11,1.208333,1.208333,1.208333,0,1
1992-09-14,1.208333,1.208333,1.208333,0,1
1992-09-15,1.166667,1.166667,1.166667,0,1
1992-09-16,1.166667,1.166667,1.166667,0,1
1992-09-17,1.166667,1.166667,1.166667,0,1
1992-09-18,1.166667,1.166667,1.166667,0,1
1992-09-21,1.125,1.125,1.125,0,1
1992-09-22,1.125,1.125,1.125,0,1
1992-09-23,1.125,1.125,1.125,0,1
1992-09-24,1.145833,1.145833,1.145833,0,1
1992-09-25,1.145833,1.145833,1.145833,0,1
1992-09-28,1.125,1.125,1.125,0,1
1992-09-29,1.083333,1.083333,1.083333,0,1
1992-09-30,1.083333,1.083333,1.083333,0,1
1992-10-01,1.125,1.125,1.125,0,1
1992-10-02,1.041667,1.041667,1.041667,0,1
1992-10-05,1.083333,1.083333,1.083333,0,1
1992-10-06,1.125,1.125,1.125,0,1
1992-10-07,1.083333,1.083333,1.083333,0,1
1992-10-08,1.145833,1.145833,1.145833,0,1
1992-10-09,1.166667,1.166667,1.166667,0,1
1992-10-12,1.083333,1.083333,1.083333,0,1
1992-10-13,1.208333,1.208333,1.208333,0,1
1992-10-14,1.375,1.375,1.375,0,1
1992-10-15,1.291667,1.291667,1.291667,0,1
1992-10-16,1.291667,1.291667,1.291667,0,1
1992-10-19,1.416667,1.416667,1.416667,0,1
1992-10-20,1.291667,1.291667,1.291667,0,1
1992-10-21,1.458333,1.458333,1.458333,0,1
1992-10-22,1.5,1.5,1.5,0,1
1992-10-23,1.541667,1.541667,1.541667,0,1
1992-10-26,1.583333,1.583333,1.583333,0,1
1992-10-27,1.625,1.625,1.625,0,1
1992-10-28,1.541667,1.541667,1.541667,0,1
1992-10-29,1.541667,1.541667,1.541667,0,1
1992-10-30,1.583333,1.583333,1.583333,0,1
1992-11-02,1.645833,1.645833,1.645833,0,1
1992-11-03,1.666667,1.666667,1.666667,0,1
1992-11-04,1.583333,1.583333,1.583333,0,1
1992-11-05,1.604167,1.604167,1.604167,0,1
1992-11-06,1.625,1.625,1.625,0,1
1992-11-09,1.625,1.625,1.625,0,1
1992-11-10,1.625,1.625,1.625,0,1
1992-11-11,1.75,1.75,1.75,0,1
1992-11-12,1.708333,1.708333,1.708333,0,1
1992-11-13,1.708333,1.708333,1.708333,0,1
1992-11-16,1.625,1.625,1.625,0,1
1992-11-17,1.625,1.625,1.625,0,1
1992-11-18,1.708333,1.708333,1.708333,0,1
1992-11-19,1.625,1.625,1.625,0,1
1992-11-20,1.666667,1.666667,1.666667,0,1
1992-11-23,1.708333,1.708333,1.708333,0,1
1992-11-24,1.729167,1.729167,1.729167,0,1
1992-11-25,1.708333,1.708333,1.708333,0,1
1992-11-27,1.75,1.75,1.75,0,1
1992-11-30,1.75,1.75,1.75,0,1
1992-12-01,1.75,1.75,1.75,0,1
1992-12-02,1.875,1.875,1.875,0,1
1992-12-03,1.833333,1.833333,1.833333,0,1
1992-12-04,1.875,1.875,1.875,0,1
1992-12-07,1.791667,1.791667,1.791667,0,1
1992-12-08,1.8125,1.8125,1.8125,0,1
1992-12-09,1.791667,1.791667,1.791667,0,1
1992-12-10,1.791667,1.791667,1.791667,0,1
1992-12-11,1.833333,1.833333,1.833333,0,1
1992-12-14,1.791667,1.791667,1.791667,0,1
1992-12-15,1.791667,1.791667,1.791667,0,1
1992-12-16,1.708333,1.708333,1.708333,0,1
1992-12-17,1.75,1.75,1.75,0,1
1992-12-18,1.770833,1.770833,1.770833,0,1
1992-12-21,1.833333,1.833333,1.833333,0,1
1992-12-22,1.666667,1.666667,1.666667,0,1
1992-12-23,1.666667,1.666667,1.666667,0,1
1992-12-24,1.666667,1.666667,1.666667,0,1
1992-12-28,1.6875,1.6875,1.6875,0,1
1992-12-29,1.583333,1.583333,1.583333,0,1
1992-12-30,1.5,1.5,1.5,0,1
1992-12-31,1.458333,1.458333,1.458333,0,1
1993-01-04,1.5,1.5,1.5,0,1
1993-01-05,1.479167,1.479167,1.479167,0,1
1993-01-06,1.5,1.5,1.5,0,1
1993-01-07,1.5,1.5,1.5,0,1
1993-01-08,1.416667,1.416667,1.416667,0,1
1993-01-11,1.416667,1.416667,1.416667,0,1
1993-01-12,1.333333,1.333333,1.333333,0,1
1993-01-13,1.25,1.25,1.25,0,1
1993-01-14,1.291667,1.291667,1.291667,0,1
1993-01-15,1.291667,1.291667,1.291667,0,1
1993-01-18,1.208333,1.208333,1.208333,0,1
1993-01-19,1.166667,1.166667,1.166667,0,1
1993-01-20,1.166667,1.166667,1.166667,0,1
1993-01-21,1.208333,1.208333,1.208333,0,1
1993-01-22,1.25,1.25,1.25,0,1
1993-01-25,1.208333,1.208333,1.208333,0,1
1993-01-26,1.166667,1.166667,1.166667,0,1
1993-01-27,1.208333,1.208333,1.208333,0,1
1993-01-28,1.125,1.125,1.125,0,1
1993-01-29,1.166667,1.166667,1.166667,0,1
1993-02-01,1.166667,1.166667,1.166667,0,1
1993-02-02,1.166667,1.166667,1.166667,0,1
1993-02-03,1.166667,1.166667,1.166667,0,1
1993-02-04,1.166667,1.166667,1.166667,0,1
1993-02-05,1.125,1.125,1.125,0,1
1993-02-08,1.041667,1.041667,1.041667,0,1
1993-02-09,1,1,1,0,1
1993-02-10,1.041667,1.041667,1.041667,0,1
1993-02-11,1.083333,1.083333,1.083333,0,1
1993-02-12,1.083333,1.083333,1.083333,0,1
1993-02-16,1,1,1,0,1
1993-02-17,1.125,1.125,1.125,0,1
1993-02-18,1.166667,1.166667,1.166667,0,1
1993-02-19,1.166667,1.166667,1.166667,0,1
1993-02-22,1.166667,1.166667,1.166667,0,1
1993-02-23,1.166667,1.166667,1.166667,0,1
1993-02-24,1.125,1.125,1.125,0,1
1993-02-25,1.083333,1.083333,1.083333,0,1
1993-02-26,1.166667,1.166667,1.166667,0,1
1993-03-01,1.125,1.125,1.125,0,1
1993-03-02,1.041667,1.041667,1.041667,0,1
1993-03-03,1.166667,1.166667,1.166667,0,1
1993-03-04,1.125,1.125,1.125,0,1
1993-03-05,1.041667,1.041667,1.041667,0,1
1993-03-08,1,1,1,0,1
1993-03-09,1.083333,1.083333,1.083333,0,1
1993-03-10,1,1,1,0,1
1993-03-11,1.041667,1.041667,1.041667,0,1
1993-03-12,1,1,1,0,1
1993-03-15,1.041667,1.041667,1.041667,0,1
1993-03-16,1,1,1,0,1
1993-03-17,1.041667,1.041667,1.041667,0,1
1993-03-18,1.041667,1.041667,1.041667,0,1
1993-03-19,1.083333,1.083333,1.083333,0,1
1993-03-22,0.9375,0.9375,0.9375,0,1
1993-03-23,0.916667,0.916667,0.916667,0,1
1993-03-24,1,1,1,0,1
1993-03-25,0.916667,0.916667,0.916667,0,1
1993-03-26,0.9375,0.9375,0.9375,0,1
1993-03-29,0.958333,0.958333,0.958333,0,1
1993-03-30,0.916667,0.916667,0.916667,0,1
1993-03-31,0.958333,0.958333,0.958333,0,1
1993-04-01,0.958333,0.958333,0.958333,0,1
1993-04-02,1,1,1,0,1
1993-04-05,0.916667,0.916667,0.916667,0,1
1993-04-06,0.916667,0.916667,0.916667,0,1
1993-04-07,0.916667,0.916667,0.916667,0,1
1993-04-08,0.875,0.875,0.875,0,1
1993-04-12,0.875,0.875,0.875,0,1
1993-04-13,0.916667,0.916667,0.916667,0,1
1993-04-14,0.916667,0.916667,0.916667,0,1
1993-04-15,0.875,0.875,0.875,0,1
1993-04-16,0.833333,0.833333,0.833333,0,1
1993-04-19,0.833333,0.833333,0.833333,0,1
1993-04-20,0.916667,0.916667,0.916667,0,1
1993-04-21,0.875,0.875,0.875,0,1
1993-04-22,0.875,0.875,0.875,0,1
1993-04-23,0.916667,0.916667,0.916667,0,1
1993-04-26,0.875,0.875,0.875,0,1
1993-04-27,0.916667,0.916667,0.916667,0,1
1993-04-28,0.916667,0.916667,0.916667,0,1
1993-04-29,0.875,0.875,0.875,0,1
1993-04-30,0.791667,0.791667,0.791667,0,1
1993-05-03,0.916667,0.916667,0.916667,0,1
1993-05-04,0.833333,0.833333,0.833333,0,1
1993-05-05,0.875,0.875,0.875,0,1
1993-05-06,0.875,0.875,0.875,0,1
1993-05-07,0.875,0.875,0.875,0,1
1993-05-10,1.041667,1.041667,1.041667,0,1
1993-05-11,1.083333,1.083333,1.083333,0,1
1993-05-12,1.083333,1.083333,1.083333,0,1
1993-05-13,1.041667,1.041667,1.041667,0,1
1993-05-14,1.125,1.125,1.125,0,1
1993-05-17,1.083333,1.083333,1.083333,0,1
1993-05-18,1.041667,1.041667,1.041667,0,1
1993-05-19,0.958333,0.958333,0.958333,0,1
1993-05-20,0.916667,0.916667,0.916667,0,1
1993-05-21,0.916667,0.916667,0.916667,0,1
1993-05-24,0.875,0.875,0.875,0,1
1993-05-25,0.958333,0.958333,0.958333,0,1
1993-05-26,0.916667,0.916667,0.916667,0,1
1993-05-27,0.916667,0.916667,0.916667,0,1
1993-05-28,0.9375,0.9375,0.9375,0,1
1993-06-01,0.875,0.875,0.875,0,1
1993-06-02,0.875,0.875,0.875,0,1
1993-06-03,0.916667,0.916667,0.916667,0,1
1993-06-04,0.958333,0.958333,0.958333,0,1
1993-06-07,0.916667,0.916667,0.916667,0,1
1993-06-08,0.958333,0.958333,0.958333,0,1
1993-06-09,0.875,0.875,0.875,0,1
1993-06-10,0.875,0.875,0.875,0,1
1993-06-11,0.958333,0.958333,0.958333,0,1
1993-06-14,0.875,0.875,0.875,0,1
1993-06-15,0.875,0.875,0.875,0,1
1993-06-16,0.833333,0.833333,0.833333,0,1
1993-06-17,0.916667,0.916667,0.916667,0,1
1993-06-18,0.875,0.875,0.875,0,1
1993-06-21,0.875,0.875,0.875,0,1
1993-06-22,0.875,0.875,0.875,0,1
1993-06-23,0.875,0.875,0.875,0,1
1993-06-24,0.875,0.875,0.875,0,1
1993-06-25,0.875,0.875,0.875,0,1
1993-06-28,0.833333,0.833333,0.833333,0,1
1993-06-29,0.833333,0.833333,0.833333,0,1
1993-06-30,0.916667,0.916667,0.916667,0,1
1993-07-01,0.875,0.875,0.875,0,1
1993-07-02,0.791667,0.791667,0.791667,0,1
1993-07-06,0.791667,0.791667,0.791667,0,1
1993-07-07,0.916667,0.916667,0.916667,0,1
1993-07-08,0.875,0.875,0.875,0,1
1993-07-09,0.875,0.875,0.875,0,1
1993-07-12,0.833333,0.833333,0.833333,0,1
1993-07-13,0.8125,0.8125,0.8125,0,1
1993-07-14,0.8125,0.8125,0.8125,0,1
1993-07-15,0.875,0.875,0.875,0,1
1993-07-16,0.833333,0.833333,0.833333,0,1
1993-07-19,0.75,0.75,0.75,0,1
1993-07-20,0.791667,0.791667,0.791667,0,1
1993-07-21,0.708333,0.708333,0.708333,0,1
1993-07-22,0.708333,0.708333,0.708333,0,1
1993-07-23,0.666667,0.666667,0.666667,0,1
1993-07-26,0.791667,0.791667,0.791667,0,1
1993-07-27,0.791667,0.791667,0.791667,0,1
1993-07-28,0.708333,0.708333,0.708333,0,1
1993-07-29,0.625,0.625,0.625,0,1
1993-07-30,0.625,0.625,0.625,0,1
1993-08-02,0.625,0.625,0.625,0,1
1993-08-03,0.791667,0.791667,0.791667,0,1
1993-08-04,0.958333,0.958333,0.958333,0,1
1993-08-05,0.958333,0.958333,0.958333,0,1
1993-08-06,0.958333,0.958333,0.958333,0,1
1993-08-09,0.875,0.875,0.875,0,1
1993-08-10,0.75,0.75,0.75,0,1
1993-08-11,0.833333,0.833333,0.833333,0,1
1993-08-12,0.833333,0.833333,0.833333,0,1
1993-08-13,0.75,0.75,0.75,0,1
1993-08-16,0.791667,0.791667,0.791667,0,1
1993-08-17,0.875,0.875,0.875,0,1
1993-08-18,0.791667,0.791667,0.791667,0,1
1993-08-19,0.875,0.875,0.875,0,1
1993-08-20,0.833333,0.833333,0.833333,0,1
1993-08-23,0.916667,0.916667,0.916667,0,1
1993-08-24,0.875,0.875,0.875,0,1
1993-08-25,0.833333,0.833333,0.833333,0,1
1993-08-26,0.833333,0.833333,0.833333,0,1
1993-08-27,0.791667,0.791667,0.791667,0,1
1993-08-30,0.791667,0.791667,0.791667,0,1
1993-08-31,0.875,0.875,0.875,0,1
1993-09-01,0.875,0.875,0.875,0,1
1993-09-02,0.8125,0.8125,0.8125,0,1
1993-09-03,0.833333,0.833333,0.833333,0,1
1993-09-07,0.833333,0.833333,0.833333,0,1
1993-09-08,0.75,0.75,0.75,0,1
1993-09-09,0.791667,0.791667,0.791667,0,1
1993-09-10,0.833333,0.833333,0.833333,0,1
1993-09-13,0.75,0.75,0.75,0,1
1993-09-14,0.75,0.75,0.75,0,1
1993-09-15,0.75,0.75,0.75,0,1
1993-09-16,0.833333,0.833333,0.833333,0,1
1993-09-17,0.791667,0.791667,0.791667,0,1
1993-09-20,0.75,0.75,0.75,0,1
1993-09-21,0.708333,0.708333,0.708333,0,1
1993-09-22,0.75,0.75,0.75,0,1
1993-09-23,0.708333,0.708333,0.708333,0,1
1993-09-24,0.708333,0.708333,0.708333,0,1
1993-09-27,0.708333,0.708333,0.708333,0,1
1993-09-28,0.833333,0.833333,0.833333,0,1
1993-09-29,0.854167,0.854167,0.854167,0,1
1993-09-30,0.833333,0.833333,0.833333,0,1
1993-10-01,0.854167,0.854167,0.854167,0,1
1993-10-04,0.875,0.875,0.875,0,1
1993-10-05,0.833333,0.833333,0.833333,0,1
1993-10-06,0.84375,0.84375,0.84375,0,1
1993-10-07,0.833333,0.833333,0.833333,0,1
1993-10-08,0.895833,0.895833,0.895833,0,1
1993-10-11,0.895833,0.895833,0.895833,0,1
1993-10-12,0.9375,0.9375,0.9375,0,1
1993-10-13,1.020833,1.020833,1.020833,0,1
1993-10-14,1,1,1,0,1
1993-10-15,1.020833,1.020833,1.020833,0,1
1993-10-18,1.03125,1.03125,1.03125,0,1
1993-10-19,0.979167,0.979167,0.979167,0,1
1993-10-20,1.020833,1.020833,1.020833,0,1
1993-10-21,0.9375,0.9375,0.9375,0,1
1993-10-22,1,1,1,0,1
1993-10-25,0.958333,0.958333,0.958333,0,1
1993-10-26,0.979167,0.979167,0.979167,0,1
1993-10-27,1,1,1,0,1
1993-10-28,0.875,0.875,0.875,0,1
1993-10-29,0.9375,0.9375,0.9375,0,1
1993-11-01,0.9375,0.9375,0.9375,0,1
1993-11-02,0.958333,0.958333,0.958333,0,1
1993-11-03,1,1,1,0,1
1993-11-04,0.979167,0.979167,0.979167,0,1
1993-11-05,0.958333,0.958333,0.958333,0,1
1993-11-08,0.958333,0.958333,0.958333,0,1
1993-11-09,0.958333,0.958333,0.958333,0,1
1993-11-10,0.9375,0.9375,0.9375,0,1
1993-11-11,0.9375,0.9375,0.9375,0,1
1993-11-12,0.947917,0.947917,0.947917,0,1
1993-11-15,1,1,1,0,1
1993-11-16,0.979167,0.979167,0.979167,0,1
1993-11-17,0.958333,0.958333,0.958333,0,1
1993-11-18,0.9375,0.9375,0.9375,0,1
1993-11-19,1,1,1,0,1
1993-11-22,0.958333,0.958333,0.958333,0,1
1993-11-23,0.9375,0.9375,0.9375,0,1
1993-11-24,1,1,1,0,1
1993-11-26,1,1,1,0,1
1993-11-29,1.020833,1.020833,1.020833,0,1
1993-11-30,1,1,1,0,1
1993-12-01,1.020833,1.020833,1.020833,0,1
1993-12-02,1.052083,1.052083,1.052083,0,1
