date,adj,close,raw,div,split
1990-10-16,1.125,1.125,1.125,0,1
1990-10-17,1.125,1.125,1.125,0,1
1990-10-18,1.166667,1.166667,1.166667,0,1
1990-10-19,1.208333,1.208333,1.208333,0,1
1990-10-22,1.25,1.25,1.25,0,1
1990-10-23,1.333333,1.333333,1.333333,0,1
1990-10-24,1.333333,1.333333,1.333333,0,1
1990-10-25,1.25,1.25,1.25,0,1
1990-10-26,1.208333,1.208333,1.208333,0,1
1990-10-29,1.166667,1.166667,1.166667,0,1
1990-10-30,1.1875,1.1875,1.1875,0,1
1990-10-31,1.166667,1.166667,1.166667,0,1
1990-11-01,1.166667,1.166667,1.166667,0,1
1990-11-02,1.166667,1.166667,1.166667,0,1
1990-11-05,1.1875,1.1875,1.1875,0,1
1990-11-06,1.166667,1.166667,1.166667,0,1
1990-11-07,1.166667,1.166667,1.166667,0,1
1990-11-08,1.125,1.125,1.125,0,1
1990-11-09,1.166667,1.166667,1.166667,0,1
1990-11-12,1.166667,1.166667,1.166667,0,1
1990-11-13,1.166667,1.166667,1.166667,0,1
1990-11-14,1.208333,1.208333,1.208333,0,1
1990-11-15,1.166667,1.166667,1.166667,0,1
1990-11-16,1.125,1.125,1.125,0,1
1990-11-19,1.208333,1.208333,1.208333,0,1
1990-11-20,1.166667,1.166667,1.166667,0,1
1990-11-21,1.166667,1.166667,1.166667,0,1
1990-11-23,1.125,1.125,1.125,0,1
1990-11-26,1.125,1.125,1.125,0,1
1990-11-27,1.1875,1.1875,1.1875,0,1
1990-11-28,1.1875,1.1875,1.1875,0,1
1990-11-29,1.166667,1.166667,1.166667,0,1
1990-11-30,1.1875,1.1875,1.1875,0,1
1990-12-03,1.1875,1.1875,1.1875,0,1
1990-12-04,1.1875,1.1875,1.1875,0,1
1990-12-05,1.1875,1.1875,1.1875,0,1
1990-12-06,1.208333,1.208333,1.208333,0,1
1990-12-07,1.25,1.25,1.25,0,1
1990-12-10,1.208333,1.208333,1.208333,0,1
1990-12-11,1.229167,1.229167,1.229167,0,1
1990-12-12,1.291667,1.291667,1.291667,0,1
1990-12-13,1.333333,1.333333,1.333333,0,1
1990-12-14,1.3125,1.3125,1.3125,0,1
1990-12-17,1.208333,1.208333,1.208333,0,1
1990-12-18,1.25,1.25,1.25,0,1
1990-12-19,1.333333,1.333333,1.333333,0,1
1990-12-20,1.458333,1.458333,1.458333,0,1
1990-12-21,1.583333,1.583333,1.583333,0,1
1990-12-24,1.583333,1.583333,1.583333,0,1
1990-12-26,1.541667,1.541667,1.541667,0,1
1990-12-27,1.5,1.5,1.5,0,1
1990-12-28,1.458333,1.458333,1.458333,0,1
1990-12-31,1.541667,1.541667,1.541667,0,1
1991-01-02,1.541667,1.541667,1.541667,0,1
1991-01-03,1.5,1.5,1.5,0,1
1991-01-04,1.416667,1.416667,1.416667,0,1
1991-01-07,1.4375,1.4375,1.4375,0,1
1991-01-08,1.5,1.5,1.5,0,1
1991-01-09,1.4375,1.4375,1.4375,0,1
1991-01-10,1.458333,1.458333,1.458333,0,1
1991-01-11,1.541667,1.541667,1.541667,0,1
1991-01-14,1.416667,1.416667,1.416667,0,1
1991-01-15,1.458333,1.458333,1.458333,0,1
1991-01-16,1.5,1.5,1.5,0,1
1991-01-17,1.5,1.5,1.5,0,1
1991-01-18,1.5,1.5,1.5,0,1
1991-01-21,1.666667,1.666667,1.666667,0,1
1991-01-22,1.666667,1.666667,1.666667,0,1
1991-01-23,1.8125,1.8125,1.8125,0,1
1991-01-24,1.875,1.875,1.875,0,1
1991-01-25,1.875,1.875,1.875,0,1
1991-01-28,1.958333,1.958333,1.958333,0,1
1991-01-29,1.958333,1.958333,1.958333,0,1
1991-01-30,2,2,2,0,1
1991-01-31,2.041667,2.041667,2.041667,0,1
1991-02-01,2.041667,2.041667,2.041667,0,1
1991-02-04,2,2,2,0,1
1991-02-05,2.083333,2.083333,2.083333,0,1
1991-02-06,2.166667,2.166667,2.166667,0,1
1991-02-07,2.083333,2.083333,2.083333,0,1
1991-02-08,2.145833,2.145833,2.145833,0,1
1991-02-11,2.125,2.125,2.125,0,1
1991-02-12,2.166667,2.166667,2.166667,0,1
1991-02-13,2.208333,2.208333,2.208333,0,1
1991-02-14,2.125,2.125,2.125,0,1
1991-02-15,2.208333,2.208333,2.208333,0,1
1991-02-19,1.958333,1.958333,1.958333,0,1
1991-02-20,2,2,2,0,1
1991-02-21,1.958333,1.958333,1.958333,0,1
1991-02-22,1.958333,1.958333,1.958333,0,1
1991-02-25,1.833333,1.833333,1.833333,0,1
1991-02-26,1.833333,1.833333,1.833333,0,1
1991-02-27,1.833333,1.833333,1.833333,0,1
1991-02-28,1.916667,1.916667,1.916667,0,1
1991-03-01,1.958333,1.958333,1.958333,0,1
1991-03-04,2,2,2,0,1
1991-03-05,1.958333,1.958333,1.958333,0,1
1991-03-06,2.041667,2.041667,2.041667,0,1
1991-03-07,2.041667,2.041667,2.041667,0,1
1991-03-08,1.958333,1.958333,1.958333,0,1
1991-03-11,2,2,2,0,1
1991-03-12,2,2,2,0,1
1991-03-13,1.916667,1.916667,1.916667,0,1
1991-03-14,1.916667,1.916667,1.916667,0,1
1991-03-15,1.916667,1.916667,1.916667,0,1
1991-03-18,2,2,2,0,1
1991-03-19,2,2,2,0,1
1991-03-20,2.083333,2.083333,2.083333,0,1
1991-03-21,2.208333,2.208333,2.208333,0,1
1991-03-22,2.270833,2.270833,2.270833,0,1
1991-03-25,2.458333,2.458333,2.458333,0,1
1991-03-26,2.5,2.5,2.5,0,1
1991-03-27,2.458333,2.458333,2.458333,0,1
1991-03-28,2.520833,2.520833,2.520833,0,1
1991-04-01,2.5,2.5,2.5,0,1
1991-04-02,2.583333,2.583333,2.583333,0,1
1991-04-03,2.541667,2.541667,2.541667,0,1
1991-04-04,2.541667,2.541667,2.541667,0,1
1991-04-05,2.541667,2.541667,2.541667,0,1
1991-04-08,2.625,2.625,2.625,0,1
1991-04-09,2.791667,2.791667,2.791667,0,1
1991-04-10,2.833333,2.833333,2.833333,0,1
1991-04-11,2.791667,2.791667,2.791667,0,1
1991-04-12,2.833333,2.833333,2.833333,0,1
1991-04-15,2.770833,2.770833,2.770833,0,1
1991-04-16,2.791667,2.791667,2.791667,0,1
1991-04-17,2.770833,2.770833,2.770833,0,1
1991-04-18,2.6875,2.6875,2.6875,0,1
1991-04-19,2.541667,2.541667,2.541667,0,1
1991-04-22,2.583333,2.583333,2.583333,0,1
1991-04-23,2.708333,2.708333,2.708333,0,1
1991-04-24,2.791667,2.791667,2.791667,0,1
1991-04-25,2.75,2.75,2.75,0,1
1991-04-26,2.791667,2.791667,2.791667,0,1
1991-04-29,2.666667,2.666667,2.666667,0,1
1991-04-30,2.5,2.5,2.5,0,1
1991-05-01,2.416667,2.416667,2.416667,0,1
1991-05-02,2.541667,2.541667,2.541667,0,1
1991-05-03,2.541667,2.541667,2.541667,0,1
1991-05-06,2.75,2.75,2.75,0,1
1991-05-07,2.666667,2.666667,2.666667,0,1
1991-05-08,2.666667,2.666667,2.666667,0,1
1991-05-09,2.583333,2.583333,2.583333,0,1
1991-05-10,2.375,2.375,2.375,0,1
1991-05-13,2.479167,2.479167,2.479167,0,1
1991-05-14,2.375,2.375,2.375,0,1
1991-05-15,2.25,2.25,2.25,0,1
1991-05-16,2.333333,2.333333,2.333333,0,1
1991-05-17,2.291667,2.291667,2.291667,0,1
1991-05-20,2.270833,2.270833,2.270833,0,1
1991-05-21,2.229167,2.229167,2.229167,0,1
1991-05-22,2.291667,2.291667,2.291667,0,1
1991-05-23,2.333333,2.333333,2.333333,0,1
1991-05-24,2.291667,2.291667,2.291667,0,1
1991-05-28,2.458333,2.458333,2.458333,0,1
1991-05-29,2.541667,2.541667,2.541667,0,1
1991-05-30,2.5,2.5,2.5,0,1
1991-05-31,2.458333,2.458333,2.458333,0,1
1991-06-03,2.416667,2.416667,2.416667,0,1
1991-06-04,2.666667,2.666667,2.666667,0,1
1991-06-05,2.625,2.625,2.625,0,1
1991-06-06,2.75,2.75,2.75,0,1
1991-06-07,2.6875,2.6875,2.6875,0,1
1991-06-10,2.666667,2.666667,2.666667,0,1
1991-06-11,2.583333,2.583333,2.583333,0,1
1991-06-12,2.625,2.625,2.625,0,1
1991-06-13,2.625,2.625,2.625,0,1
1991-06-14,2.666667,2.666667,2.666667,0,1
1991-06-17,2.583333,2.583333,2.583333,0,1
1991-06-18,2.458333,2.458333,2.458333,0,1
1991-06-19,2.416667,2.416667,2.416667,0,1
1991-06-20,2.458333,2.458333,2.458333,0,1
1991-06-21,2.375,2.375,2.375,0,1
1991-06-24,2.375,2.375,2.375,0,1
1991-06-25,2.3125,2.3125,2.3125,0,1
1991-06-26,2.375,2.375,2.375,0,1
1991-06-27,2.333333,2.333333,2.333333,0,1
1991-06-28,2.354167,2.354167,2.354167,0,1
1991-07-01,2.375,2.375,2.375,0,1
1991-07-02,2.375,2.375,2.375,0,1
1991-07-03,2.333333,2.333333,2.333333,0,1
1991-07-05,2.208333,2.208333,2.208333,0,1
1991-07-08,2.25,2.25,2.25,0,1
1991-07-09,2.291667,2.291667,2.291667,0,1
1991-07-10,2.375,2.375,2.375,0,1
1991-07-11,2.541667,2.541667,2.541667,0,1
1991-07-12,2.583333,2.583333,2.583333,0,1
1991-07-15,2.666667,2.666667,2.666667,0,1
1991-07-16,2.583333,2.583333,2.583333,0,1
1991-07-17,2.625,2.625,2.625,0,1
1991-07-18,2.666667,2.666667,2.666667,0,1
1991-07-19,2.666667,2.666667,2.666667,0,1
1991-07-22,2.375,2.375,2.375,0,1
1991-07-23,2.416667,2.416667,2.416667,0,1
1991-07-24,2.4375,2.4375,2.4375,0,1
1991-07-25,2.5,2.5,2.5,0,1
1991-07-26,2.583333,2.583333,2.583333,0,1
1991-07-29,2.583333,2.583333,2.583333,0,1
1991-07-30,2.583333,2.583333,2.583333,0,1
1991-07-31,2.625,2.625,2.625,0,1
1991-08-01,2.666667,2.666667,2.666667,0,1
1991-08-02,2.583333,2.583333,2.583333,0,1
1991-08-05,2.583333,2.583333,2.583333,0,1
1991-08-06,2.541667,2.541667,2.541667,0,1
1991-08-07,2.583333,2.583333,2.583333,0,1
1991-08-08,2.5,2.5,2.5,0,1
1991-08-09,2.541667,2.541667,2.541667,0,1
1991-08-12,2.5,2.5,2.5,0,1
1991-08-13,2.541667,2.541667,2.541667,0,1
1991-08-14,2.541667,2.541667,2.541667,0,1
1991-08-15,2.5,2.5,2.5,0,1
1991-08-16,2.541667,2.541667,2.541667,0,1
1991-08-19,2.458333,2.458333,2.458333,0,1
1991-08-20,2.604167,2.604167,2.604167,0,1
1991-08-21,2.625,2.625,2.625,0,1
1991-08-22,2.604167,2.604167,2.604167,0,1
1991-08-23,2.541667,2.541667,2.541667,0,1
1991-08-26,2.583333,2.583333,2.583333,0,1
1991-08-27,2.604167,2.604167,2.604167,0,1
1991-08-28,2.666667,2.666667,2.666667,0,1
1991-08-29,2.666667,2.666667,2.666667,0,1
1991-08-30,2.583333,2.583333,2.583333,0,1
1991-09-03,2.625,2.625,2.625,0,1
1991-09-04,2.625,2.625,2.625,0,1
1991-09-05,2.666667,2.666667,2.666667,0,1
1991-09-06,2.666667,2.666667,2.666667,0,1
1991-09-09,2.666667,2.666667,2.666667,0,1
1991-09-10,3,3,3,0,1
1991-09-11,3.083333,3.083333,3.083333,0,1
1991-09-12,3.041667,3.041667,3.041667,0,1
1991-09-13,2.833333,2.833333,2.833333,0,1
1991-09-16,2.708333,2.708333,2.708333,0,1
1991-09-17,2.708333,2.708333,2.708333,0,1
1991-09-18,2.625,2.625,2.625,0,1
1991-09-19,2.6875,2.6875,2.6875,0,1
1991-09-20,2.916667,2.916667,2.916667,0,1
1991-09-23,2.875,2.875,2.875,0,1
1991-09-24,2.875,2.875,2.875,0,1
1991-09-25,2.958333,2.958333,2.958333,0,1
1991-09-26,2.958333,2.958333,2.958333,0,1
1991-09-27,2.916667,2.916667,2.916667,0,1
1991-09-30,2.791667,2.791667,2.791667,0,1
1991-10-01,2.875,2.875,2.875,0,1
1991-10-02,2.833333,2.833333,2.833333,0,1
1991-10-03,2.875,2.875,2.875,0,1
1991-10-04,2.875,2.875,2.875,0,1
1991-10-07,2.791667,2.791667,2.791667,0,1
1991-10-08,2.625,2.625,2.625,0,1
1991-10-09,2.625,2.625,2.625,0,1
1991-10-10,2.5,2.5,2.5,0,1
1991-10-11,2.541667,2.541667,2.541667,0,1
1991-10-14,2.666667,2.666667,2.666667,0,1
1991-10-15,2.708333,2.708333,2.708333,0,1
1991-10-16,2.666667,2.666667,2.666667,0,1
1991-10-17,2.729167,2.729167,2.729167,0,1
1991-10-18,2.833333,2.833333,2.833333,0,1
1991-10-21,3,3,3,0,1
1991-10-22,2.958333,2.958333,2.958333,0,1
1991-10-23,2.75,2.75,2.75,0,1
1991-10-24,2.645833,2.645833,2.645833,0,1
1991-10-25,2.708333,2.708333,2.708333,0,1
1991-10-28,2.875,2.875,2.875,0,1
1991-10-29,2.854167,2.854167,2.854167,0,1
1991-10-30,2.833333,2.833333,2.833333,0,1
1991-10-31,2.875,2.875,2.875,0,1
1991-11-01,2.833333,2.833333,2.833333,0,1
1991-11-04,2.875,2.875,2.875,0,1
1991-11-05,2.854167,2.854167,2.854167,0,1
1991-11-06,2.75,2.75,2.75,0,1
1991-11-07,2.791667,2.791667,2.791667,0,1
1991-11-08,2.708333,2.708333,2.708333,0,1
1991-11-11,2.708333,2.708333,2.708333,0,1
1991-11-12,2.75,2.75,2.75,0,1
1991-11-13,2.791667,2.791667,2.791667,0,1
1991-11-14,2.833333,2.833333,2.833333,0,1
1991-11-15,2.708333,2.708333,2.708333,0,1
1991-11-18,2.625,2.625,2.625,0,1
1991-11-19,2.541667,2.541667,2.541667,0,1
1991-11-20,2.5,2.5,2.5,0,1
1991-11-21,2.458333,2.458333,2.458333,0,1
1991-11-22,2.458333,2.458333,2.458333,0,1
1991-11-25,2.5,2.5,2.5,0,1
1991-11-26,2.458333,2.458333,2.458333,0,1
1991-11-27,2.416667,2.416667,2.416667,0,1
1991-11-29,2.541667,2.541667,2.541667,0,1
1991-12-02,2.583333,2.583333,2.583333,0,1
1991-12-03,2.791667,2.791667,2.791667,0,1
1991-12-04,2.791667,2.791667,2.791667,0,1
1991-12-05,2.791667,2.791667,2.791667,0,1
1991-12-06,2.916667,2.916667,2.916667,0,1
1991-12-09,3,3,3,0,1
1991-12-10,2.875,2.875,2.875,0,1
1991-12-11,2.916667,2.916667,2.916667,0,1
1991-12-12,2.958333,2.958333,2.958333,0,1
1991-12-13,2.958333,2.958333,2.958333,0,1
1991-12-16,2.916667,2.916667,2.916667,0,1
1991-12-17,2.958333,2.958333,2.958333,0,1
1991-12-18,2.916667,2.916667,2.916667,0,1
1991-12-19,2.458333,2.458333,2.458333,0,1
1991-12-20,2.458333,2.458333,2.458333,0,1
1991-12-23,2.666667,2.666667,2.666667,0,1
1991-12-24,2.791667,2.791667,2.791667,0,1
1991-12-26,2.895833,2.895833,2.895833,0,1
1991-12-27,2.833333,2.833333,2.833333,0,1
1991-12-30,2.833333,2.833333,2.833333,0,1
1991-12-31,2.791667,2.791667,2.791667,0,1
1992-01-02,2.708333,2.708333,2.708333,0,1
1992-01-03,2.666667,2.666667,2.666667,0,1
1992-01-06,2.666667,2.666667,2.666667,0,1
1992-01-07,2.791667,2.791667,2.791667,0,1
1992-01-08,2.625,2.625,2.625,0,1
1992-01-09,2.791667,2.791667,2.791667,0,1
1992-01-10,2.833333,2.833333,2.833333,0,1
1992-01-13,2.875,2.875,2.875,0,1
1992-01-14,3,3,3,0,1
1992-01-15,2.895833,2.895833,2.895833,0,1
1992-01-16,2.916667,2.916667,2.916667,0,1
1992-01-17,2.916667,2.916667,2.916667,0,1
1992-01-20,2.958333,2.958333,2.958333,0,1
1992-01-21,2.75,2.75,2.75,0,1
1992-01-22,2.791667,2.791667,2.791667,0,1
1992-01-23,2.875,2.875,2.875,0,1
1992-01-24,2.916667,2.916667,2.916667,0,1
1992-01-27,2.8125,2.8125,2.8125,0,1
1992-01-28,2.875,2.875,2.875,0,1
1992-01-29,2.666667,2.666667,2.666667,0,1
1992-01-30,2.5,2.5,2.5,0,1
1992-01-31,2.416667,2.416667,2.416667,0,1
1992-02-03,2.479167,2.479167,2.479167,0,1
1992-02-04,2.520833,2.520833,2.520833,0,1
1992-02-05,2.5,2.5,2.5,0,1
1992-02-06,2.625,2.625,2.625,0,1
1992-02-07,2.625,2.625,2.625,0,1
1992-02-10,2.625,2.625,2.625,0,1
1992-02-11,2.625,2.625,2.625,0,1
1992-02-12,2.625,2.625,2.625,0,1
1992-02-13,2.541667,2.541667,2.541667,0,1
1992-02-14,2.416667,2.416667,2.416667,0,1
1992-02-18,2.3125,2.3125,2.3125,0,1
1992-02-19,2.375,2.375,2.375,0,1
1992-02-20,2.25,2.25,2.25,0,1
1992-02-21,2.3125,2.3125,2.3125,0,1
1992-02-24,2.291667,2.291667,2.291667,0,1
1992-02-25,2.104167,2.104167,2.104167,0,1
1992-02-26,2.125,2.125,2.125,0,1
1992-02-27,2.125,2.125,2.125,0,1
1992-02-28,2,2,2,0,1
1992-03-02,2,2,2,0,1
1992-03-03,2,2,2,0,1
1992-03-04,2.125,2.125,2.125,0,1
1992-03-05,2.125,2.125,2.125,0,1
1992-03-06,2.0625,2.0625,2.0625,0,1
1992-03-09,2.041667,2.041667,2.041667,0,1
1992-03-10,1.958333,1.958333,1.958333,0,1
1992-03-11,1.916667,1.916667,1.916667,0,1
1992-03-12,1.916667,1.916667,1.916667,0,1
1992-03-13,1.75,1.75,1.75,0,1
1992-03-16,1.8125,1.8125,1.8125,0,1
1992-03-17,1.875,1.875,1.875,0,1
1992-03-18,1.916667,1.916667,1.916667,0,1
1992-03-19,1.916667,1.916667,1.916667,0,1
1992-03-20,1.916667,1.916667,1.916667,0,1
1992-03-23,1.833333,1.833333,1.833333,0,1
1992-03-24,1.875,1.875,1.875,0,1
1992-03-25,1.875,1.875,1.875,0,1
1992-03-26,1.833333,1.833333,1.833333,0,1
1992-03-27,1.75,1.75,1.75,0,1
1992-03-30,1.75,1.75,1.75,0,1
1992-03-31,1.833333,1.833333,1.833333,0,1
1992-04-01,1.791667,1.791667,1.791667,0,1
1992-04-02,1.770833,1.770833,1.770833,0,1
1992-04-03,1.75,1.75,1.75,0,1
1992-04-06,1.791667,1.791667,1.791667,0,1
1992-04-07,1.75,1.75,1.75,0,1
1992-04-08,1.666667,1.666667,1.666667,0,1
1992-04-09,1.75,1.75,1.75,0,1
1992-04-10,1.625,1.625,1.625,0,1
1992-04-13,1.958333,1.958333,1.958333,0,1
1992-04-14,2.041667,2.041667,2.041667,0,1
1992-04-15,2.104167,2.104167,2.104167,0,1
1992-04-16,1.958333,1.958333,1.958333,0,1
1992-04-20,1.875,1.875,1.875,0,1
1992-04-21,1.916667,1.916667,1.916667,0,1
1992-04-22,1.958333,1.958333,1.958333,0,1
1992-04-23,1.9375,1.9375,1.9375,0,1
1992-04-24,1.875,1.875,1.875,0,1
1992-04-27,1.791667,1.791667,1.791667,0,1
1992-04-28,1.791667,1.791667,1.791667,0,1
1992-04-29,1.791667,1.791667,1.791667,0,1
1992-04-30,1.833333,1.833333,1.833333,0,1
1992-05-01,1.791667,1.791667,1.791667,0,1
1992-05-04,1.833333,1.833333,1.833333,0,1
1992-05-05,1.75,1.75,1.75,0,1
1992-05-06,1.791667,1.791667,1.791667,0,1
1992-05-07,1.729167,1.729167,1.729167,0,1
1992-05-08,1.729167,1.729167,1.729167,0,1
1992-05-11,1.791667,1.791667,1.791667,0,1
1992-05-12,1.770833,1.770833,1.770833,0,1
1992-05-13,1.75,1.75,1.75,0,1
1992-05-14,1.666667,1.666667,1.666667,0,1
1992-05-15,1.666667,1.666667,1.666667,0,1
1992-05-18,1.708333,1.708333,1.708333,0,1
1992-05-19,1.645833,1.645833,1.645833,0,1
1992-05-20,1.666667,1.666667,1.666667,0,1
1992-05-21,1.625,1.625,1.625,0,1
1992-05-22,1.625,1.625,1.625,0,1
1992-05-26,1.541667,1.541667,1.541667,0,1
1992-05-27,1.541667,1.541667,1.541667,0,1
1992-05-28,1.604167,1.604167,1.604167,0,1
1992-05-29,1.625,1.625,1.625,0,1
1992-06-01,1.625,1.625,1.625,0,1
1992-06-02,1.583333,1.583333,1.583333,0,1
1992-06-03,1.458333,1.458333,1.458333,0,1
1992-06-04,1.416667,1.416667,1.416667,0,1
1992-06-05,1.458333,1.458333,1.458333,0,1
1992-06-08,1.625,1.625,1.625,0,1
1992-06-09,1.604167,1.604167,1.604167,0,1
1992-06-10,1.625,1.625,1.625,0,1
1992-06-11,1.541667,1.541667,1.541667,0,1
1992-06-12,1.583333,1.583333,1.583333,0,1
1992-06-15,1.5,1.5,1.5,0,1
1992-06-16,1.5,1.5,1.5,0,1
1992-06-17,1.354167,1.354167,1.354167,0,1
1992-06-18,1.4375,1.4375,1.4375,0,1
1992-06-19,1.5,1.5,1.5,0,1
1992-06-22,1.541667,1.541667,1.541667,0,1
1992-06-23,1.583333,1.583333,1.583333,0,1
1992-06-24,1.458333,1.458333,1.458333,0,1
1992-06-25,1.458333,1.458333,1.458333,0,1
1992-06-26,1.5,1.5,1.5,0,1
1992-06-29,1.458333,1.458333,1.458333,0,1
1992-06-30,1.458333,1.458333,1.458333,0,1
1992-07-01,1.4375,1.4375,1.4375,0,1
1992-07-02,1.416667,1.416667,1.416667,0,1
1992-07-06,1.479167,1.479167,1.479167,0,1
1992-07-07,1.458333,1.458333,1.458333,0,1
1992-07-08,1.416667,1.416667,1.416667,0,1
1992-07-09,1.458333,1.458333,1.458333,0,1
1992-07-10,1.5,1.5,1.5,0,1
1992-07-13,1.5,1.5,1.5,0,1
1992-07-14,1.458333,1.458333,1.458333,0,1
1992-07-15,1.416667,1.416667,1.416667,0,1
1992-07-16,1.520833,1.520833,1.520833,0,1
1992-07-17,1.479167,1.479167,1.479167,0,1
1992-07-20,1.416667,1.416667,1.416667,0,1
1992-07-21,1.416667,1.416667,1.416667,0,1
1992-07-22,1.375,1.375,1.375,0,1
1992-07-23,1.375,1.375,1.375,0,1
1992-07-24,1.291667,1.291667,1.291667,0,1
1992-07-27,1.458333,1.458333,1.458333,0,1
1992-07-28,1.583333,1.583333,1.583333,0,1
1992-07-29,1.5,1.5,1.5,0,1
1992-07-30,1.458333,1.458333,1.458333,0,1
1992-07-31,1.375,1.375,1.375,0,1
1992-08-03,1.375,1.375,1.375,0,1
1992-08-04,1.416667,1.416667,1.416667,0,1
1992-08-05,1.416667,1.416667,1.416667,0,1
1992-08-06,1.5,1.5,1.5,0,1
1992-08-07,1.458333,1.458333,1.458333,0,1
1992-08-10,1.479167,1.479167,1.479167,0,1
1992-08-11,1.458333,1.458333,1.458333,0,1
1992-08-12,1.5,1.5,1.5,0,1
1992-08-13,1.395833,1.395833,1.395833,0,1
1992-08-14,1.4375,1.4375,1.4375,0,1
1992-08-17,1.375,1.375,1.375,0,1
1992-08-18,1.458333,1.458333,1.458333,0,1
1992-08-19,1.416667,1.416667,1.416667,0,1
1992-08-20,1.416667,1.416667,1.416667,0,1
1992-08-21,1.375,1.375,1.375,0,1
1992-08-24,1.291667,1.291667,1.291667,0,1
1992-08-25,1.270833,1.270833,1.270833,0,1
1992-08-26,1.291667,1.291667,1.291667,0,1
1992-08-27,1.270833,1.270833,1.270833,0,1
1992-08-28,1.291667,1.291667,1.291667,0,1
1992-08-31,1.25,1.25,1.25,0,1
1992-09-01,1.208333,1.208333,1.208333,0,1
1992-09-02,1.25,1.25,1.25,0,1
1992-09-03,1.208333,1.208333,1.208333,0,1
1992-09-04,1.208333,1.208333,1.208333,0,1
1992-09-08,1.25,1.25,1.25,0,1
1992-09-09,1.208333,1.208333,1.208333,0,1
1992-09-10,1.25,1.25,1.25,0,1
1992-09-11,1.25,1.25,1.25,0,1
1992-09-14,1.3125,1.3125,1.3125,0,1
1992-09-15,1.25,1.25,1.25,0,1
1992-09-16,1.291667,1.291667,1.291667,0,1
1992-09-17,1.25,1.25,1.25,0,1
1992-09-18,1.166667,1.166667,1.166667,0,1
1992-09-21,1.125,1.125,1.125,0,1
1992-09-22,1.145833,1.145833,1.145833,0,1
1992-09-23,1.125,1.125,1.125,0,1
1992-09-24,1.1875,1.1875,1.1875,0,1
1992-09-25,1.25,1.25,1.25,0,1
1992-09-28,1.166667,1.166667,1.166667,0,1
1992-09-29,1.166667,1.166667,1.166667,0,1
1992-09-30,1.208333,1.208333,1.208333,0,1
1992-10-01,1.125,1.125,1.125,0,1
1992-10-02,1.208333,1.208333,1.208333,0,1
1992-10-05,1.1875,1.1875,1.1875,0,1
1992-10-06,1.166667,1.166667,1.166667,0,1
