date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-04T00:00:00Z,2024-01-04T23:59:59Z,AIUSDT,spot,0.03,2.58,0.03,1.23994,214924858,274243270.33173,956915,106798748,135855451.9616
2024-01-05T00:00:00Z,2024-01-05T23:59:59Z,AIUSDT,spot,1.23899,1.388,1.03,1.19086,107907720,131286822.42874,502563,53964497,65943055.35402
2024-01-06T00:00:00Z,2024-01-06T23:59:59Z,AIUSDT,spot,1.19101,1.35,1.12201,1.29743,56584230,69522440.56874,259185,28833402,35668085.81678
2024-01-07T00:00:00Z,2024-01-07T23:59:59Z,AIUSDT,spot,1.2975,1.673,1.2,1.49499,124185635,184749248.49297,691686,63453059,94640213.53577
2024-01-08T00:00:00Z,2024-01-08T23:59:59Z,AIUSDT,spot,1.495,1.59319,1.25,1.35724,90925223,127384054.30929,542199,43366321,61004762.11242
2024-01-09T00:00:00Z,2024-01-09T23:59:59Z,AIUSDT,spot,1.35724,1.43551,1.08,1.15629,74053871,90878738.13197,453928,34801821,42741310.02207
2024-01-10T00:00:00Z,2024-01-10T23:59:59Z,AIUSDT,spot,1.15634,1.198,0.902,1.14292,81326369,85065245.65287,386564,39635507,41472293.77066
2024-01-11T00:00:00Z,2024-01-11T23:59:59Z,AIUSDT,spot,1.14288,1.26935,1.042,1.11196,77929219,90008662.25211,354593,38278321,44254103.74975
2024-01-12T00:00:00Z,2024-01-12T23:59:59Z,AIUSDT,spot,1.11294,1.13843,0.962,1.02297,36721348,39529190.1647,174651,16895730,18191885.48436
2024-01-13T00:00:00Z,2024-01-13T23:59:59Z,AIUSDT,spot,1.02387,1.119,0.971,1.07727,28954480,30692085.56829,114385,14232319,15099153.07256
2024-01-14T00:00:00Z,2024-01-14T23:59:59Z,AIUSDT,spot,1.0775,1.33277,1.071,1.20898,96764161,117708714.25291,396642,48289125,58817496.02945
2024-01-15T00:00:00Z,2024-01-15T23:59:59Z,AIUSDT,spot,1.21052,1.498,1.11,1.40313,104737366,136858890.49324,538388,52190441,68324946.97392
