date,date_close,pair,market,open,high,low,close,volume,volume_quote,trades,taker_buy,taker_buy_quote
2024-01-04T08:00:00Z,2024-01-04T11:59:59Z,AIUSDT,spot,0.03,2.58,0.03,1.0902,117019589,157126974.75729,502516,56238397,75175757.61626
2024-01-04T12:00:00Z,2024-01-04T15:59:59Z,AIUSDT,spot,1.09023,1.21399,1.055,1.1016,39623955,45082360.67629,169154,19850067,22620216.63685
2024-01-04T16:00:00Z,2024-01-04T19:59:59Z,AIUSDT,spot,1.10161,1.35,1.095,1.30981,31560669,38275107.09204,146606,17960021,21884064.80102
2024-01-04T20:00:00Z,2024-01-04T23:59:59Z,AIUSDT,spot,1.30999,1.36271,1.155,1.23994,26720645,33758827.80611,138639,12750263,16175412.90747
2024-01-05T00:00:00Z,2024-01-05T03:59:59Z,AIUSDT,spot,1.23899,1.2666,1.104,1.12303,13737027,15891016.62476,61839,6011376,6963615.81556
2024-01-05T04:00:00Z,2024-01-05T07:59:59Z,AIUSDT,spot,1.12303,1.1902,1.03,1.166,15712353,17452792.09591,72808,8064306,8986340.96364
2024-01-05T08:00:00Z,2024-01-05T11:59:59Z,AIUSDT,spot,1.16632,1.388,1.11,1.24805,46009204,58811737.55276,210825,24526395,31400429.68841
2024-01-05T12:00:00Z,2024-01-05T15:59:59Z,AIUSDT,spot,1.24729,1.32347,1.121,1.15916,17129374,20783725.0599,80914,7966791,9705907.20318
2024-01-05T16:00:00Z,2024-01-05T19:59:59Z,AIUSDT,spot,1.15731,1.25508,1.12006,1.18413,10824170,13010008.24712,54610,5532092,6666993.46605
2024-01-05T20:00:00Z,2024-01-05T23:59:59Z,AIUSDT,spot,1.18413,1.2222,1.1688,1.19086,4495592,5337542.84829,21567,1863537,2219768.21718
2024-01-06T00:00:00Z,2024-01-06T03:59:59Z,AIUSDT,spot,1.19101,1.3,1.1688,1.241,7811477,9657969.72878,36371,4145363,5149183.41418
2024-01-06T04:00:00Z,2024-01-06T07:59:59Z,AIUSDT,spot,1.24101,1.24106,1.13,1.16257,8405492,9897176.17223,39531,3507556,4134546.00865
2024-01-06T08:00:00Z,2024-01-06T11:59:59Z,AIUSDT,spot,1.16261,1.18814,1.12201,1.17147,5581409,6421552.41218,27457,2409133,2776600.28429
2024-01-06T12:00:00Z,2024-01-06T15:59:59Z,AIUSDT,spot,1.17147,1.225,1.13566,1.1835,8223841,9729155.47356,32385,3892522,4618543.61724
2024-01-06T16:00:00Z,2024-01-06T19:59:59Z,AIUSDT,spot,1.18253,1.3121,1.1735,1.23417,14191031,17740525.6319,59732,7931446,9941032.85893
2024-01-06T20:00:00Z,2024-01-06T23:59:59Z,AIUSDT,spot,1.23412,1.35,1.22536,1.29743,12370980,16076061.15009,63709,6947382,9048179.63349
2024-01-07T00:00:00Z,2024-01-07T03:59:59Z,AIUSDT,spot,1.2975,1.366,1.2,1.29162,9901263,12749191.72277,43712,4948373,6428978.99873
2024-01-07T04:00:00Z,2024-01-07T07:59:59Z,AIUSDT,spot,1.28981,1.59304,1.28222,1.56848,29499435,42282848.40328,131440,16432947,23635147.45448
2024-01-07T08:00:00Z,2024-01-07T11:59:59Z,AIUSDT,spot,1.56717,1.66324,1.4175,1.45174,29811555,45707796.48989,169494,14385366,22145627.98368
2024-01-07T12:00:00Z,2024-01-07T15:59:59Z,AIUSDT,spot,1.45118,1.56235,1.373,1.46911,20312054,29851550.34634,116341,10052101,14803702.5958
2024-01-07T16:00:00Z,2024-01-07T19:59:59Z,AIUSDT,spot,1.47033,1.673,1.43111,1.64689,20384565,31910627.09288,138316,10924020,17137846.75585
2024-01-07T20:00:00Z,2024-01-07T23:59:59Z,AIUSDT,spot,1.64701,1.655,1.43,1.49499,14276763,22247234.43781,92383,6710252,10488909.74723
2024-01-08T00:00:00Z,2024-01-08T03:59:59Z,AIUSDT,spot,1.495,1.59319,1.25641,1.36603,18318872,25590113.075,99618,7884371,11068637.2454
2024-01-08T04:00:00Z,2024-01-08T07:59:59Z,AIUSDT,spot,1.36604,1.5,1.25,1.40805,13446896,18387187.10275,74766,6633050,9115364.30667
2024-01-08T08:00:00Z,2024-01-08T11:59:59Z,AIUSDT,spot,1.40805,1.55,1.33523,1.3514,15435710,22291054.38441,88720,7590500,11032858.69254
2024-01-08T12:00:00Z,2024-01-08T15:59:59Z,AIUSDT,spot,1.35007,1.51335,1.33648,1.40482,18713235,27066033.84525,134379,9553283,13830187.29953
2024-01-08T16:00:00Z,2024-01-08T19:59:59Z,AIUSDT,spot,1.40361,1.45,1.27608,1.30225,16003660,21909008.94961,89731,7173232,9847227.15706
2024-01-08T20:00:00Z,2024-01-08T23:59:59Z,AIUSDT,spot,1.30309,1.39784,1.30249,1.35724,9006850,12140656.95227,54985,4531885,6110487.41122
2024-01-09T00:00:00Z,2024-01-09T03:59:59Z,AIUSDT,spot,1.35724,1.43551,1.31892,1.39664,9606085,13169460.66554,70735,4616010,6341918.00466
2024-01-09T04:00:00Z,2024-01-09T07:59:59Z,AIUSDT,spot,1.39653,1.42,1.33182,1.34024,7650127,10464541.24115,57711,3607969,4947355.94664
2024-01-09T08:00:00Z,2024-01-09T11:59:59Z,AIUSDT,spot,1.34017,1.35,1.17606,1.22681,21849455,27011116.68403,126741,9908823,12237839.98839
2024-01-09T12:00:00Z,2024-01-09T15:59:59Z,AIUSDT,spot,1.22709,1.22709,1.13457,1.15686,15464220,18143222.9904,94723,7387610,8673651.52464
2024-01-09T16:00:00Z,2024-01-09T19:59:59Z,AIUSDT,spot,1.15614,1.173,1.105,1.13145,9998183,11398515.9697,51375,4880332,5570072.39292
2024-01-09T20:00:00Z,2024-01-09T23:59:59Z,AIUSDT,spot,1.13047,1.1752,1.08,1.15629,9485801,10691880.58115,52643,4401077,4970472.16482
2024-01-10T00:00:00Z,2024-01-10T03:59:59Z,AIUSDT,spot,1.15634,1.177,1.10689,1.1445,6300028,7185411.48465,40647,3076932,3512465.81526
